,typename,id,label,geometry,service,description,height,date
0,TL740798,45563,Base Data (ef),"Point;[587615.0938796654],[6139599.49808377]",energifyn,Bertlet,3.0,2020-07-14T11:50:52+02:00
1,TL740798,45429,Base Data (ef),"Point;[587640.1992476],[6139495.733965868]",energifyn,Konisk,6.0,2020-06-17T04:49:25+02:00
2,TL740798,45428,Base Data (ef),"Point;[587620.6423723234],[6139494.677285508]",energifyn,Konisk,6.0,2020-06-17T04:49:25+02:00
3,TL740798,45430,Base Data (ef),"Point;[587701.971542376],[6139521.341307467]",energifyn,Wire,8.0,2020-06-17T04:49:18+02:00
4,TL740798,45515,Base Data (ef),"Point;[587701.7005856885],[6139538.145050717]",energifyn,Andet,,2020-06-17T04:49:18+02:00
5,TL740798,45514,Base Data (ef),"Point;[587698.6105413248],[6139537.415661839]",energifyn,Andet,,2020-06-17T04:49:18+02:00
6,TL740798,45522,Base Data (ef),"Point;[587628.5669573399],[6139588.137960372]",energifyn,Bertlet,3.0,2020-07-15T09:52:12+02:00
7,TL740798,45519,Base Data (ef),"Point;[587701.415252581],[6139552.562671828]",energifyn,Bertlet,3.0,2020-09-15T13:04:48+02:00
8,TL740798,45520,Base Data (ef),"Point;[587677.1620613332],[6139560.062442631]",energifyn,Bertlet,3.0,2020-09-15T13:04:49+02:00
9,TL740798,45524,Base Data (ef),"Point;[587650.84234237],[6139569.081981138]",energifyn,Wire,8.0,2020-06-17T04:49:18+02:00
10,TL740798,45523,Base Data (ef),"Point;[587633.9712484475],[6139579.54446555]",energifyn,Wire,8.0,2020-06-17T04:49:18+02:00
11,TL740798,45525,Base Data (ef),"Point;[587676.6199615167],[6139556.792961046]",energifyn,Wire,8.0,2020-06-17T04:49:18+02:00
12,TL740798,45537,Base Data (ef),"Point;[587720.1202068394],[6139610.923840107]",energifyn,Bertlet,3.0,2020-07-15T09:43:08+02:00
13,TL740798,45542,Base Data (ef),"Point;[587730.1074958558],[6139559.304282904]",energifyn,Wire,8.0,2020-06-17T04:49:19+02:00
14,TL740798,45541,Base Data (ef),"Point;[587723.3415080634],[6139584.105041524]",energifyn,Wire,8.0,2020-06-17T04:49:19+02:00
15,TL740798,45540,Base Data (ef),"Point;[587720.9897983589],[6139606.767275931]",energifyn,Wire,8.0,2020-06-17T04:49:19+02:00
16,TL740798,45538,Base Data (ef),"Point;[587715.577140193],[6139603.767335724]",energifyn,Bertlet,3.0,2020-07-15T09:42:48+02:00
17,TL740798,45558,Base Data (ef),"Point;[587545.5178875991],[6139566.629826149]",energifyn,Bertlet,3.0,2020-07-17T07:29:16+02:00
18,TL740798,45557,Base Data (ef),"Point;[587576.8908458444],[6139577.76152349]",energifyn,Bertlet,3.0,2020-07-17T07:29:16+02:00
19,TL740798,45556,Base Data (ef),"Point;[587611.9203733177],[6139580.234776832]",energifyn,Bertlet,3.0,2020-07-17T07:29:15+02:00
20,TL740798,45578,Base Data (ef),"Point;[587708.7778834777],[6139653.723441678]",energifyn,Wire,8.0,2020-06-17T04:49:17+02:00
