,typename,id,label,geometry,service,description,height,date
0,TL740798,48119,Base Data (ef),"Point;[587290.5943133212],[6141027.784253096]",energifyn,Træ,6.5,2020-08-14T12:47:59+02:00
1,TL740798,48122,Base Data (ef),"Point;[587256.8842362717],[6141107.208403514]",energifyn,Træ,6.5,2020-08-14T12:47:57+02:00
2,TL740798,48130,Base Data (ef),"Point;[587318.4440815944],[6141101.828525443]",energifyn,Træ,6.5,2020-08-14T12:48:01+02:00
3,TL740798,48132,Base Data (ef),"Point;[587353.5488118324],[6141123.60214995]",energifyn,Træ,6.5,2020-08-14T12:48:01+02:00
4,TL740798,48131,Base Data (ef),"Point;[587335.6983612459],[6141112.366986799]",energifyn,Træ,6.5,2020-08-14T12:48:00+02:00
5,TL740798,48133,Base Data (ef),"Point;[587331.3654759271],[6141050.112710724]",energifyn,Træ,6.5,2020-08-14T12:48:00+02:00
6,TL740798,48134,Base Data (ef),"Point;[587354.1303725678],[6141063.499968907]",energifyn,Træ,6.5,2020-08-14T12:48:00+02:00
7,TL740798,48129,Base Data (ef),"Point;[587296.2876059219],[6141088.529711216]",energifyn,Træ,6.5,2020-08-14T12:47:57+02:00
8,TL740798,48136,Base Data (ef),"Point;[587330.0375870848],[6141049.298710253]",energifyn,Træ,6.5,2020-08-14T12:35:24+02:00
9,TL740798,48138,Base Data (ef),"Point;[587381.3998987875],[6141076.554323901]",energifyn,Træ,6.5,2020-08-16T11:53:17+02:00
10,TL740798,48140,Base Data (ef),"Point;[587355.0566879117],[6141122.914865003]",energifyn,Træ,6.5,2020-08-14T12:35:33+02:00
11,TL740798,48143,Base Data (ef),"Point;[587326.57046725],[6141173.176770046]",energifyn,Træ,6.5,2020-08-14T12:35:40+02:00
12,TL740798,48146,Base Data (ef),"Point;[587287.8496332736],[6141054.086138967]",energifyn,Træ,6.5,2020-08-14T12:35:26+02:00
13,TL740798,48150,Base Data (ef),"Point;[587319.8336642398],[6141101.474799873]",energifyn,Træ,6.5,2020-08-14T12:35:31+02:00
14,TL740798,48153,Base Data (ef),"Point;[587297.0956968316],[6141090.032496427]",energifyn,Træ,6.5,2020-08-14T12:35:31+02:00
15,TL740798,48152,Base Data (ef),"Point;[587297.9742846234],[6141088.093748817]",energifyn,Træ,6.5,2020-08-14T12:35:30+02:00
16,TL740798,48154,Base Data (ef),"Point;[587278.4187781384],[6141077.591749079]",energifyn,Træ,6.5,2020-08-14T12:35:28+02:00
17,TL740798,48155,Base Data (ef),"Point;[587279.3019068341],[6141078.033023044]",energifyn,Træ,6.5,2020-08-14T12:35:29+02:00
18,TL740798,48158,Base Data (ef),"Point;[587256.8475030974],[6141065.456673106]",energifyn,Træ,6.5,2020-08-14T12:35:27+02:00
19,TL740798,48161,Base Data (ef),"Point;[587258.3991230325],[6141106.85293314]",energifyn,Træ,6.5,2020-08-14T12:35:34+02:00
20,TL740798,48159,Base Data (ef),"Point;[587256.8347792403],[6141066.010472008]",energifyn,Træ,6.5,2020-08-14T12:35:28+02:00
21,TL740798,48163,Base Data (ef),"Point;[587253.0840692612],[6141132.069511502]",energifyn,Træ,6.5,2020-08-14T12:35:36+02:00
22,TL740798,48165,Base Data (ef),"Point;[587253.5402798535],[6141130.89074472]",energifyn,Træ,6.5,2020-08-14T12:35:36+02:00
23,TL740798,48168,Base Data (ef),"Point;[587273.9462389791],[6141145.796684366]",energifyn,Træ,6.5,2020-08-14T12:35:37+02:00
24,TL740798,48171,Base Data (ef),"Point;[587296.4365488027],[6141158.812315147]",energifyn,Træ,6.5,2020-08-14T12:35:38+02:00
25,TL740798,48178,Base Data (ef),"Point;[587264.6453593198],[6141214.194403919]",energifyn,Træ,6.5,2020-08-14T12:39:00+02:00
26,TL740798,48182,Base Data (ef),"Point;[587232.8156953714],[6141181.486054152]",energifyn,Træ,6.5,2020-08-14T12:35:42+02:00
27,TL740798,48184,Base Data (ef),"Point;[587249.0172002828],[6141204.179250746]",energifyn,Træ,6.5,2020-08-14T12:38:59+02:00
28,TL740798,48183,Base Data (ef),"Point;[587232.364635444],[6141183.451161071]",energifyn,Træ,6.5,2020-08-14T12:35:43+02:00
29,TL740798,48185,Base Data (ef),"Point;[587234.3646465414],[6141182.55873817]",energifyn,Træ,6.5,2020-08-14T12:35:43+02:00
30,TL740798,48135,Base Data (ef),"Point;[587381.5140525707],[6141077.687180601]",energifyn,Træ,6.5,2020-08-14T12:48:02+02:00
31,TL740798,48120,Base Data (ef),"Point;[587289.5945629757],[6141054.89051698]",energifyn,Træ,6.5,2020-08-14T12:47:59+02:00
32,TL740798,48121,Base Data (ef),"Point;[587258.2086375852],[6141066.086981886]",energifyn,Træ,6.5,2020-08-14T12:47:58+02:00
33,TL740798,48128,Base Data (ef),"Point;[587280.4634086397],[6141078.932808203]",energifyn,Træ,6.5,2020-08-14T12:47:58+02:00
34,TL740798,48123,Base Data (ef),"Point;[587254.4285561945],[6141131.877255957]",energifyn,Træ,6.5,2020-08-14T12:47:56+02:00
35,TL740798,48124,Base Data (ef),"Point;[587274.6512818683],[6141144.491098545]",energifyn,Træ,6.5,2020-08-14T12:47:56+02:00
36,TL740798,48125,Base Data (ef),"Point;[587297.5981309587],[6141159.339916229]",energifyn,Træ,6.5,2020-08-14T12:47:55+02:00
37,TL740798,48127,Base Data (ef),"Point;[587326.9377544108],[6141175.11519268]",energifyn,Træ,6.5,2020-08-14T12:47:55+02:00
38,TL740798,48175,Base Data (ef),"Point;[587290.2087659235],[6141209.519001908]",energifyn,Træ,6.5,2020-08-14T12:41:15+02:00
39,TL740798,48176,Base Data (ef),"Point;[587291.2284866683],[6141207.976434119]",energifyn,Træ,6.5,2020-08-14T12:39:02+02:00
40,TL740798,48179,Base Data (ef),"Point;[587266.278649167],[6141214.967014357]",energifyn,Træ,6.5,2020-08-14T12:39:01+02:00
41,TL740798,48177,Base Data (ef),"Point;[587266.2288230647],[6141213.321007045]",energifyn,Træ,6.5,2020-08-14T12:39:00+02:00
42,TL740798,48180,Base Data (ef),"Point;[587248.4853659796],[6141206.0604954185]",energifyn,Træ,6.5,2020-08-14T12:38:59+02:00
43,TL740798,48181,Base Data (ef),"Point;[587247.3643651251],[6141204.393272419]",energifyn,Træ,6.5,2020-08-14T12:38:59+02:00
44,TL740798,48173,Base Data (ef),"Point;[587303.3877091877],[6141187.34516776]",energifyn,Træ,6.5,2020-08-14T12:35:41+02:00
45,TL740798,48172,Base Data (ef),"Point;[587304.0283340673],[6141186.127541848]",energifyn,Træ,6.5,2020-08-14T12:35:41+02:00
46,TL740798,48142,Base Data (ef),"Point;[587325.0928146734],[6141175.209219148]",energifyn,Træ,6.5,2020-08-14T12:35:40+02:00
47,TL740798,48169,Base Data (ef),"Point;[587296.7587719754],[6141160.803624497]",energifyn,Træ,6.5,2020-08-14T12:35:39+02:00
48,TL740798,48170,Base Data (ef),"Point;[587298.5879031433],[6141159.757181547]",energifyn,Træ,6.5,2020-08-14T12:35:39+02:00
49,TL740798,48167,Base Data (ef),"Point;[587272.4934428445],[6141145.875172567]",energifyn,Træ,6.5,2020-08-14T12:35:38+02:00
50,TL740798,48166,Base Data (ef),"Point;[587273.1067592431],[6141144.761024564]",energifyn,Træ,6.5,2020-08-14T12:35:37+02:00
51,TL740798,48164,Base Data (ef),"Point;[587252.1308099494],[6141131.024804465]",energifyn,Træ,6.5,2020-08-14T12:35:37+02:00
52,TL740798,48162,Base Data (ef),"Point;[587258.3777453017],[6141107.932335372]",energifyn,Træ,6.5,2020-08-14T12:35:35+02:00
53,TL740798,48160,Base Data (ef),"Point;[587259.251693896],[6141107.517713929]",energifyn,Træ,6.5,2020-08-14T12:35:35+02:00
54,TL740798,48141,Base Data (ef),"Point;[587354.4770178288],[6141124.965133336]",energifyn,Træ,6.5,2020-08-14T12:35:34+02:00
55,TL740798,48148,Base Data (ef),"Point;[587337.0862058011],[6141111.783807313]",energifyn,Træ,6.5,2020-08-14T12:35:33+02:00
56,TL740798,48149,Base Data (ef),"Point;[587336.394235936],[6141113.726236687]",energifyn,Træ,6.5,2020-08-14T12:35:32+02:00
57,TL740798,48151,Base Data (ef),"Point;[587318.7647470182],[6141103.596065511]",energifyn,Træ,6.5,2020-08-14T12:35:32+02:00
58,TL740798,48157,Base Data (ef),"Point;[587278.104821603],[6141078.433088785]",energifyn,Træ,6.5,2020-08-14T12:35:30+02:00
59,TL740798,48156,Base Data (ef),"Point;[587278.9454968229],[6141078.873521626]",energifyn,Træ,6.5,2020-08-14T12:35:29+02:00
60,TL740798,48188,Base Data (ef),"Point;[587329.6425929745],[6141082.493248515]",energifyn,Træ,6.5,2020-08-14T12:35:27+02:00
61,TL740798,48189,Base Data (ef),"Point;[587331.1202384718],[6141083.300138285]",energifyn,Træ,6.5,2020-08-14T12:35:26+02:00
62,TL740798,48147,Base Data (ef),"Point;[587287.9459585773],[6141055.949337358]",energifyn,Træ,6.5,2020-08-14T12:35:26+02:00
63,TL740798,48145,Base Data (ef),"Point;[587288.3683135634],[6141027.905321927]",energifyn,Træ,6.5,2020-08-14T12:35:25+02:00
64,TL740798,48144,Base Data (ef),"Point;[587288.4012248252],[6141026.244097354]",energifyn,Træ,6.5,2020-08-14T12:35:25+02:00
65,TL740798,48137,Base Data (ef),"Point;[587352.5097336033],[6141062.631114346]",energifyn,Træ,6.5,2020-08-14T12:35:24+02:00
66,TL740798,48139,Base Data (ef),"Point;[587380.7357402365],[6141078.334007235]",energifyn,Træ,6.5,2020-08-14T12:35:23+02:00
67,TL740798,48190,Base Data (ef),"Point;[587383.5889718102],[6141056.27084645]",energifyn,Andet,3.5,2020-08-14T07:43:43+02:00
68,TL740798,48191,Base Data (ef),"Point;[587388.3346684758],[6141047.690339901]",energifyn,Andet,3.5,2020-08-14T07:43:43+02:00
69,TL740798,48192,Base Data (ef),"Point;[587392.9284233705],[6141038.119876636]",energifyn,Andet,3.5,2020-08-14T07:42:58+02:00
70,TL740798,34258,Base Data (ef),"Point;[587379.0343986459],[6141064.484064826]",energifyn,Andet,3.5,2020-06-17T04:36:18+02:00
71,TL740798,34300,Base Data (ef),"Point;[587383.0798283204],[6141023.376338936]",energifyn,Andet,3.5,2020-06-17T04:40:51+02:00
72,TL740798,34299,Base Data (ef),"Point;[587370.426970021],[6141019.451894172]",energifyn,Andet,3.5,2020-06-17T04:40:51+02:00
73,TL740800,1292,Fuse Box (ef),"Point;[587275.1071176738],[6141089.697268207]",energifyn,,,
