,typename,id,label,geometry,service,description,height,date
0,TL740798,6817,Base Data (ef),"Point;[587552.0272543213],[6139261.659912941]",energifyn,Cylindrisk Ø90 SKY,3.5,2020-06-17T04:44:05+02:00
1,TL740798,6816,Base Data (ef),"Point;[587568.6150299645],[6139252.749923709]",energifyn,Cylindrisk Ø90 SKY,3.5,2020-06-17T04:44:05+02:00
2,TL740798,6815,Base Data (ef),"Point;[587582.3975718238],[6139247.903053849]",energifyn,Cylindrisk Ø90 SKY,3.5,2020-06-17T04:44:05+02:00
3,TL740798,6814,Base Data (ef),"Point;[587600.9672564922],[6139244.487170167]",energifyn,Cylindrisk Ø90 SKY,3.5,2020-06-17T04:44:05+02:00
4,TL740798,6813,Base Data (ef),"Point;[587620.8169907632],[6139240.428892653]",energifyn,Cylindrisk Ø90 SKY,3.5,2020-06-17T04:44:05+02:00
5,TL740798,6812,Base Data (ef),"Point;[587643.5670174598],[6139237.096272606]",energifyn,Cylindrisk Ø90 SKY,3.5,2020-06-17T04:44:05+02:00
6,TL740798,6811,Base Data (ef),"Point;[587664.4957810097],[6139232.948322185]",energifyn,Cylindrisk Ø90 SKY,3.5,2020-06-17T04:44:04+02:00
7,TL740798,6809,Base Data (ef),"Point;[587709.0566576059],[6139235.281776193]",energifyn,Cylindrisk Ø90 SKY,3.5,2020-06-17T04:44:04+02:00
8,TL740798,6820,Base Data (ef),"Point;[587683.089946318],[6139228.308761643]",energifyn,Cylindrisk Ø90 SKY,3.5,2020-06-17T04:44:05+02:00
9,TL740798,40618,Base Data (ef),"Point;[587697.3787344947],[6139201.20857242]",energifyn,Bertlet,4.0,2020-06-17T04:45:50+02:00
10,TL740798,6821,Base Data (ef),"Point;[587698.5651097134],[6139224.3864635145]",energifyn,Cylindrisk Ø90 SKY,3.5,2020-06-17T04:44:05+02:00
11,TL740798,6819,Base Data (ef),"Point;[587523.0248095824],[6139292.698513879]",energifyn,Cylindrisk Ø90 SKY,3.5,2020-06-17T04:44:05+02:00
12,TL740798,6818,Base Data (ef),"Point;[587534.2479271836],[6139276.3348707855]",energifyn,Cylindrisk Ø90 SKY,3.5,2020-06-17T04:44:05+02:00
13,TL740798,45450,Base Data (ef),"Point;[587509.6108326775],[6139320.484508529]",energifyn,Cylindrisk Ø114,3.0,2020-06-17T04:49:25+02:00
14,TL740798,45449,Base Data (ef),"Point;[587523.9829874829],[6139305.073900941]",energifyn,Cylindrisk Ø114,3.0,2020-06-17T04:49:25+02:00
15,TL740798,45447,Base Data (ef),"Point;[587505.2818178086],[6139311.938366034]",energifyn,Cylindrisk Ø114,3.0,2020-06-17T04:49:25+02:00
16,TL740798,45446,Base Data (ef),"Point;[587501.6561810926],[6139312.645631454]",energifyn,Cylindrisk Ø114,3.0,2020-06-17T04:49:25+02:00
17,TL740798,47436,Base Data (ef),"Point;[587501.1021158496],[6139279.906972137]",energifyn,Bertlet,Andet,2020-06-17T04:50:30+02:00
18,TL740798,47435,Base Data (ef),"Point;[587500.7508060777],[6139278.452857851]",energifyn,Bertlet,Andet,2020-06-17T04:50:30+02:00
19,TL740798,47434,Base Data (ef),"Point;[587500.467250123],[6139276.777451226]",energifyn,Bertlet,Andet,2020-06-17T04:50:30+02:00
20,TL740798,47433,Base Data (ef),"Point;[587500.3147849649],[6139274.8820093535]",energifyn,Bertlet,Andet,2020-06-17T04:50:30+02:00
21,TL740798,47432,Base Data (ef),"Point;[587500.4134590093],[6139273.102870641]",energifyn,Bertlet,Andet,2020-06-17T04:50:30+02:00
22,TL740798,47431,Base Data (ef),"Point;[587500.5754701073],[6139271.324989043]",energifyn,Bertlet,Andet,2020-06-17T04:50:30+02:00
23,TL740798,47430,Base Data (ef),"Point;[587500.7396898738],[6139269.435832717]",energifyn,Bertlet,Andet,2020-06-17T04:50:29+02:00
24,TL740798,47429,Base Data (ef),"Point;[587516.7375642275],[6139299.809405149]",energifyn,Bertlet,Andet,2020-06-17T04:50:29+02:00
25,TL740798,47428,Base Data (ef),"Point;[587527.8479921728],[6139308.267557068]",energifyn,Bertlet,Andet,2020-06-17T04:50:29+02:00
26,TL740798,47427,Base Data (ef),"Point;[587529.0926286328],[6139309.405454687]",energifyn,Bertlet,Andet,2020-06-17T04:50:29+02:00
27,TL740798,47426,Base Data (ef),"Point;[587530.2105915467],[6139310.540837586]",energifyn,Bertlet,Andet,2020-06-17T04:50:29+02:00
28,TL740798,47425,Base Data (ef),"Point;[587531.5207725617],[6139311.568718708]",energifyn,Bertlet,Andet,2020-06-17T04:50:29+02:00
29,TL740798,47424,Base Data (ef),"Point;[587532.7609883046],[6139312.929166859]",energifyn,Bertlet,Andet,2020-06-17T04:50:29+02:00
30,TL740798,47423,Base Data (ef),"Point;[587534.0667491164],[6139314.179598225]",energifyn,Bertlet,Andet,2020-06-17T04:50:29+02:00
31,TL740798,47422,Base Data (ef),"Point;[587535.2480458993],[6139315.316240027]",energifyn,Bertlet,Andet,2020-06-17T04:50:29+02:00
32,TL740798,47421,Base Data (ef),"Point;[587536.2371234674],[6139316.560384008]",energifyn,Bertlet,Andet,2020-06-17T04:50:29+02:00
33,TL740798,47420,Base Data (ef),"Point;[587537.5473012745],[6139317.588266959]",energifyn,Bertlet,Andet,2020-06-17T04:50:29+02:00
34,TL740798,47419,Base Data (ef),"Point;[587539.1741601455],[6139318.622438636]",energifyn,Bertlet,Andet,2020-06-17T04:50:29+02:00
35,TL740798,47418,Base Data (ef),"Point;[587540.6809744731],[6139319.3202713365]",energifyn,Bertlet,Andet,2020-06-17T04:50:29+02:00
36,TL740798,47417,Base Data (ef),"Point;[587542.2533343073],[6139319.908087534]",energifyn,Bertlet,Andet,2020-06-17T04:50:29+02:00
37,TL740798,47416,Base Data (ef),"Point;[587543.9479469496],[6139320.720969236]",energifyn,Bertlet,Andet,2020-06-17T04:50:29+02:00
38,TL740798,47415,Base Data (ef),"Point;[587545.515886391],[6139321.531336076]",energifyn,Bertlet,Andet,2020-06-17T04:50:29+02:00
39,TL740798,47414,Base Data (ef),"Point;[587547.0882448294],[6139322.119154014]",energifyn,Bertlet,Andet,2020-06-17T04:50:29+02:00
40,TL740798,47413,Base Data (ef),"Point;[587548.7217293154],[6139322.819505056]",energifyn,Bertlet,Andet,2020-06-17T04:50:29+02:00
41,TL740798,47412,Base Data (ef),"Point;[587526.4133455717],[6139307.125887353]",energifyn,Bertlet,Andet,2020-06-17T04:50:29+02:00
42,TL740798,47447,Base Data (ef),"Point;[587502.4918919834],[6139286.502352789]",energifyn,Bertlet,Andet,2020-06-17T04:50:30+02:00
43,TL740798,47446,Base Data (ef),"Point;[587503.1532583224],[6139288.2965771835]",energifyn,Bertlet,Andet,2020-06-17T04:50:30+02:00
44,TL740798,47445,Base Data (ef),"Point;[587504.5790823413],[6139289.883338143]",energifyn,Bertlet,Andet,2020-06-17T04:50:30+02:00
45,TL740798,47444,Base Data (ef),"Point;[587506.6382725249],[6139291.482671497]",energifyn,Bertlet,Andet,2020-06-17T04:50:30+02:00
46,TL740798,47443,Base Data (ef),"Point;[587508.5008247618],[6139293.412058377]",energifyn,Bertlet,Andet,2020-06-17T04:50:30+02:00
47,TL740798,47442,Base Data (ef),"Point;[587510.3655841866],[6139295.230171322]",energifyn,Bertlet,Andet,2020-06-17T04:50:30+02:00
48,TL740798,47441,Base Data (ef),"Point;[587512.5492341587],[6139296.943296736]",energifyn,Bertlet,Andet,2020-06-17T04:50:30+02:00
49,TL740798,47440,Base Data (ef),"Point;[587514.7417182256],[6139298.211324301]",energifyn,Bertlet,Andet,2020-06-17T04:50:30+02:00
50,TL740798,47439,Base Data (ef),"Point;[587502.2083373544],[6139284.826946024]",energifyn,Bertlet,Andet,2020-06-17T04:50:30+02:00
51,TL740798,47438,Base Data (ef),"Point;[587501.8592370278],[6139283.261556893]",energifyn,Bertlet,Andet,2020-06-17T04:50:30+02:00
52,TL740798,45444,Base Data (ef),"Point;[587505.9778014946],[6139315.1804198045]",energifyn,Bertlet,Andet,2020-06-17T04:49:25+02:00
53,TL740798,45448,Base Data (ef),"Point;[587513.501280267],[6139301.253655358]",energifyn,Cylindrisk Ø114,3.0,2020-04-14T14:31:43+02:00
54,TL740798,47437,Base Data (ef),"Point;[587501.5145536305],[6139281.473618317]",energifyn,Bertlet,Andet,2020-06-17T04:50:30+02:00
55,TL740800,1046,Fuse Box (ef),"Point;[587695.5836446573],[6139208.631217986]",energifyn,,,
