,typename,id,label,geometry,service,description,height,date
0,TL740798,25027,Base Data (ef),"Point;[587833.8573049337],[6137441.8626273]",energifyn,Konisk,6.0,2020-06-17T04:38:04+02:00
1,TL740798,25025,Base Data (ef),"Point;[587848.733103012],[6137525.647731058]",energifyn,Konisk,6.0,2020-06-17T04:38:04+02:00
2,TL740798,17666,Base Data (ef),"Point;[587837.793305665],[6137470.215898073]",energifyn,Konisk,6.0,2020-06-17T04:27:00+02:00
3,TL740798,25021,Base Data (ef),"Point;[587809.7418393019],[6137506.94910756]",energifyn,Konisk,6.0,2020-06-17T04:38:04+02:00
4,TL740798,15791,Base Data (ef),"Point;[587841.6397420517],[6137608.104812365]",energifyn,Andet,6.0,2020-06-17T04:22:19+02:00
5,TL740798,17626,Base Data (ef),"Point;[587773.5842706743],[6137562.445318012]",energifyn,Konisk,6.0,2020-06-17T04:26:58+02:00
6,TL740798,16410,Base Data (ef),"Point;[587829.3875678016],[6137621.775652499]",energifyn,Andet,6.0,2020-06-17T04:23:17+02:00
7,TL740798,17434,Base Data (ef),"Point;[587763.3114657537],[6137451.145103381]",energifyn,Konisk,6.0,2020-06-17T04:26:52+02:00
8,TL740798,17627,Base Data (ef),"Point;[587883.1862251969],[6137520.768080004]",energifyn,Konisk,6.0,2020-06-17T04:26:58+02:00
9,TL740798,25028,Base Data (ef),"Point;[587830.2602185023],[6137412.402925845]",energifyn,Konisk,6.0,2020-06-17T04:38:04+02:00
10,TL740798,25026,Base Data (ef),"Point;[587842.4200070407],[6137505.262039925]",energifyn,Konisk,6.0,2020-06-17T04:38:04+02:00
11,TL740798,25024,Base Data (ef),"Point;[587790.918021765],[6137468.614838511]",energifyn,Konisk,6.0,2020-06-17T04:38:04+02:00
12,TL740798,25023,Base Data (ef),"Point;[587810.9527221475],[6137481.147323647]",energifyn,Konisk,6.0,2020-06-17T04:38:04+02:00
13,TL740798,25022,Base Data (ef),"Point;[587826.4788159442],[6137481.345100473]",energifyn,Konisk,6.0,2020-06-17T04:38:04+02:00
14,TL740798,25020,Base Data (ef),"Point;[587812.335776984],[6137529.4870787095]",energifyn,Konisk,6.0,2020-06-17T04:38:03+02:00
15,TL740798,25019,Base Data (ef),"Point;[587790.0975344832],[6137538.506508646]",energifyn,Konisk,6.0,2020-06-17T04:38:03+02:00
16,TL740798,25018,Base Data (ef),"Point;[587772.80912726],[6137585.47281721]",energifyn,Andet,6.0,2020-06-17T04:38:03+02:00
17,TL740798,25017,Base Data (ef),"Point;[587801.5007782682],[6137602.518965948]",energifyn,Andet,6.0,2020-06-17T04:38:03+02:00
18,TL740798,25013,Base Data (ef),"Point;[587744.1496301505],[6137569.985959791]",energifyn,Andet,6.0,2020-06-17T04:38:03+02:00
19,TL740800,1029,Fuse Box (ef),"Point;[587841.3551869215],[6137523.719708233]",energifyn,,,
