,typename,id,label,geometry,service,actor,date,horizontal_precision,vertical_precision
0,Bygning,1103723692,Building (gd),"Polygon;[587604.14, 587604.71, 587598.86, 587597.52, 587593.42, 587593.2, 587591.32, 587585.46, 587585.31, 587562.45, 587574.7, 587579.57, 587582.38, 587584.69, 587585.05, 587599.9, 587599.51, 587602.45, 587603.07, 587604.71, 587604.14],[6139502.37, 6139502.55, 6139521.89, 6139526.5, 6139540.03, 6139539.97, 6139546.73, 6139567.85, 6139568.29, 6139560.43, 6139524.78, 6139511.06, 6139498.5, 6139498.91, 6139496.9, 6139499.56, 6139501.43, 6139502.04, 6139500.0, 6139500.49, 6139502.37]",geodanmark,Niras A/S,2016-12-23T22:00:09.000000+01:00,0.10,0.15
1,Bygning,1071767127,Building (gd),"Polygon;[587653.84, 587671.88, 587673.97, 587674.07, 587669.52, 587669.64, 587661.65, 587661.37, 587657.79, 587650.48, 587653.84],[6139534.27, 6139540.62, 6139549.7, 6139549.99, 6139551.48, 6139551.8, 6139555.05, 6139554.6, 6139556.86, 6139543.77, 6139534.27]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,1.00,1.00
2,Bygning,1103723342,Building (gd),"Polygon;[587615.03, 587616.08, 587637.53, 587637.38, 587632.36, 587620.73, 587615.03],[6139513.52, 6139503.74, 6139507.02, 6139517.09, 6139516.37, 6139514.61, 6139513.52]",geodanmark,Niras A/S,2016-12-23T22:00:09.000000+01:00,1.00,1.00
3,Bygning,1103723504,Building (gd),"Polygon;[587510.94, 587510.53, 587509.72, 587506.59, 587493.59, 587497.68, 587498.19, 587505.17, 587507.42, 587506.31, 587513.02, 587517.94, 587515.75, 587513.96, 587514.96, 587513.33, 587510.94],[6139529.86, 6139530.77, 6139532.6, 6139539.96, 6139534.62, 6139524.95, 6139524.44, 6139527.3, 6139523.68, 6139522.99, 6139510.58, 6139513.24, 6139517.29, 6139520.06, 6139520.79, 6139524.46, 6139529.86]",geodanmark,Niras A/S,2016-12-23T22:00:09.000000+01:00,1.00,1.00
4,Bygning,1071740143,Building (gd),"Polygon;[587729.07, 587729.4, 587730.2, 587733.56, 587734.14, 587738.15, 587739.6, 587744.78, 587745.88, 587744.69, 587743.71, 587742.71, 587743.78, 587742.8, 587741.79, 587741.63, 587738.63, 587729.07],[6139637.95, 6139637.13, 6139635.03, 6139636.31, 6139634.78, 6139636.36, 6139632.71, 6139634.75, 6139635.19, 6139638.12, 6139637.72, 6139640.18, 6139640.61, 6139643.02, 6139642.61, 6139643.02, 6139641.81, 6139637.95]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,1.00,1.00
5,Bygning,1095491811,Building (gd),"Polygon;[587592.1, 587590.09, 587587.93, 587589.94, 587592.1],[6139709.86, 6139713.39, 6139712.15, 6139708.62, 6139709.86]",geodanmark,COWI,2016-04-14T18:11:15.000000+02:00,0.15,0.20
6,Bygning,1071767153,Building (gd),"Polygon;[587500.66, 587497.55, 587500.89, 587499.96, 587500.85, 587498.19, 587497.68, 587493.59, 587482.87, 587482.64, 587496.37, 587500.66],[6139511.21, 6139516.1, 6139518.22, 6139519.69, 6139520.25, 6139524.44, 6139524.95, 6139534.62, 6139529.11, 6139528.95, 6139508.34, 6139511.21]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,1.00,1.00
7,Bygning,1071767160,Building (gd),"Polygon;[587598.86, 587602.74, 587601.35, 587597.52, 587598.86],[6139521.89, 6139523.06, 6139527.66, 6139526.5, 6139521.89]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
8,Bygning,1071767164,Building (gd),"Polygon;[587564.95, 587574.7, 587562.45, 587551.79, 587555.79, 587561.08, 587565.75, 587561.84, 587564.95],[6139521.32, 6139524.78, 6139560.43, 6139556.76, 6139545.11, 6139546.88, 6139531.23, 6139529.29, 6139521.32]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,1.00,1.00
9,Bygning,1071768040,Building (gd),"Polygon;[587504.99, 587502.84, 587494.64, 587494.2, 587478.94, 587481.8, 587484.43, 587490.87, 587492.3, 587494.75, 587493.32, 587498.13, 587504.99],[6139592.44, 6139597.4, 6139606.25, 6139607.25, 6139600.64, 6139591.32, 6139583.71, 6139586.41, 6139582.99, 6139584.02, 6139587.44, 6139589.46, 6139592.44]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,1.00,1.00
10,Bygning,1071768044,Building (gd),"Polygon;[587576.91, 587575.37, 587549.85, 587547.62, 587528.75, 587540.94, 587585.39, 587576.91],[6139607.51, 6139606.89, 6139598.26, 6139604.85, 6139598.46, 6139568.18, 6139583.32, 6139607.51]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,1.00,1.00
11,Bygning,1071771279,Building (gd),"Polygon;[587731.53, 587724.3, 587722.39, 587725.56, 587735.05, 587734.61, 587731.7, 587730.86, 587733.23, 587732.53, 587734.06, 587731.53],[6139607.72, 6139604.76, 6139600.81, 6139589.09, 6139592.15, 6139594.09, 6139593.44, 6139597.18, 6139598.03, 6139598.99, 6139599.32, 6139607.72]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,1.00,1.00
12,Bygning,1071750157,Building (gd),"Polygon;[587688.09, 587687.19, 587679.64, 587693.03, 587691.26, 587702.54, 587707.72, 587700.05, 587701.99, 587694.69, 587688.09],[6139629.07, 6139628.49, 6139623.6, 6139598.43, 6139597.49, 6139578.48, 6139580.96, 6139601.52, 6139602.21, 6139618.13, 6139629.07]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,1.00,1.00
13,Bygning,1071750159,Building (gd),"Polygon;[587679.64, 587678.62, 587669.54, 587680.4, 587683.36, 587685.74, 587686.9, 587691.26, 587693.03, 587679.64],[6139623.6, 6139622.94, 6139617.05, 6139600.31, 6139601.87, 6139597.36, 6139595.17, 6139597.49, 6139598.43, 6139623.6]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,1.00,1.00
14,Bygning,1071750160,Building (gd),"Polygon;[587697.53, 587688.09, 587694.69, 587701.99, 587706.33, 587709.55, 587703.51, 587706.65, 587701.93, 587697.53],[6139635.2, 6139629.07, 6139618.13, 6139602.21, 6139590.09, 6139591.16, 6139609.32, 6139610.47, 6139627.85, 6139635.2]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,1.00,1.00
