,typename,id,label,geometry,service,actor,date,horizontal_precision,vertical_precision
0,Bygning,1113473418,Building (gd),"Polygon;[587377.39, 587379.86, 587377.9, 587375.43, 587377.39],[6141089.55, 6141090.99, 6141094.36, 6141092.91, 6141089.55]",geodanmark,DSM GEODATA (P) LTD,2017-11-29T15:20:23.000000+01:00,0.15,0.20
1,Bygning,1095484119,Building (gd),"Polygon;[587355.58, 587354.34, 587345.69, 587345.43, 587341.9, 587343.4, 587355.58],[6141054.77, 6141056.99, 6141052.16, 6141052.62, 6141050.65, 6141047.98, 6141054.77]",geodanmark,COWI,2018-12-20T10:28:01.927000+01:00,0.15,0.20
2,Bygning,1113472767,Building (gd),"Polygon;[587376.98, 587382.96, 587391.89, 587385.9, 587376.98],[6141098.99, 6141102.64, 6141088.02, 6141084.37, 6141098.99]",geodanmark,DSM GEODATA (P) LTD,2020-03-30T13:31:35.967000+02:00,0.15,0.20
3,Bygning,1067402504,Building (gd),"Polygon;[587236.69, 587241.64, 587246.97, 587242.02, 587236.69],[6141081.52, 6141072.86, 6141075.91, 6141084.56, 6141081.52]",geodanmark,Niras A/S,2016-12-23T22:00:09.000000+01:00,0.10,0.15
4,Bygning,1103667147,Building (gd),"Polygon;[587331.94, 587321.64, 587324.58, 587334.88, 587331.94],[6141044.54, 6141038.83, 6141033.54, 6141039.25, 6141044.54]",geodanmark,Niras A/S,2016-12-23T22:00:09.000000+01:00,0.15,0.20
5,Bygning,1034541301,Building (gd),"Polygon;[587369.77, 587359.45, 587359.82, 587354.66, 587349.42, 587349.54, 587341.39, 587346.25, 587346.86, 587347.34, 587308.24, 587317.4, 587319.45, 587325.21, 587325.33, 587369.77],[6141073.34, 6141091.3, 6141091.51, 6141100.48, 6141097.47, 6141097.25, 6141092.56, 6141084.12, 6141084.48, 6141083.65, 6141061.17, 6141045.23, 6141044.69, 6141048.0, 6141047.79, 6141073.34]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
6,Bygning,1113472612,Building (gd),"Polygon;[587241.38, 587243.72, 587239.85, 587237.51, 587241.38],[6141171.63, 6141173.0, 6141179.61, 6141178.24, 6141171.63]",geodanmark,DSM GEODATA (P) LTD,2017-11-29T15:20:23.000000+01:00,0.15,0.20
7,Bygning,1067402624,Building (gd),"Polygon;[587274.06, 587270.92, 587272.38, 587275.52, 587274.06],[6141093.34, 6141091.47, 6141089.02, 6141090.89, 6141093.34]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
8,Bygning,1067402696,Building (gd),"Polygon;[587374.97, 587366.5, 587377.55, 587393.83, 587382.49, 587382.21, 587380.05, 587380.27, 587374.99, 587360.31, 587362.82, 587360.36, 587356.26, 587346.64, 587351.94, 587350.84, 587353.05, 587363.78, 587373.36, 587374.97],[6141043.57, 6141037.38, 6141026.69, 6141032.22, 6141051.65, 6141051.48, 6141055.19, 6141055.32, 6141064.37, 6141055.81, 6141048.03, 6141046.59, 6141053.62, 6141048.0, 6141038.9, 6141038.26, 6141034.47, 6141040.73, 6141046.32, 6141043.57]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
9,Bygning,1067403048,Building (gd),"Polygon;[587232.17, 587240.74, 587240.83, 587240.84, 587232.26, 587232.2, 587232.17],[6140995.99, 6140995.93, 6141008.3, 6141009.3, 6141009.36, 6141001.74, 6140995.99]",geodanmark,Niras A/S,2019-02-12T18:30:16.178000+01:00,0.10,0.15
