,typename,id,label,geometry,service,actor,date,horizontal_precision,vertical_precision
0,Bygning,1034235407,Building (gd),"Polygon;[587396.42, 587403.89, 587402.57, 587447.24, 587448.28, 587457.03, 587458.14, 587466.84, 587467.86, 587476.88, 587480.27, 587465.53, 587464.45, 587455.64, 587454.58, 587446.46, 587445.41, 587411.09, 587412.17, 587399.54, 587396.42],[6139178.25, 6139176.44, 6139171.01, 6139160.12, 6139164.39, 6139162.26, 6139166.79, 6139164.67, 6139168.86, 6139166.66, 6139180.57, 6139184.16, 6139179.74, 6139181.89, 6139177.53, 6139179.51, 6139175.16, 6139183.52, 6139187.96, 6139191.04, 6139178.25]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
1,Mast,1034130937,Light Fixture (gd),"Point;[587665.67],[6139230.04]",geodanmark,DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
2,Mast,1034130938,Light Fixture (gd),"Point;[587638.21],[6139235.45]",geodanmark,DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
3,Mast,1034130940,Light Fixture (gd),"Point;[587583.38],[6139244.85]",geodanmark,DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
4,Mast,1034130941,Light Fixture (gd),"Point;[587557.94],[6139252.16]",geodanmark,DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
5,Mast,1034130942,Light Fixture (gd),"Point;[587535.85],[6139269.58]",geodanmark,DSM GEODATA (P) LTD,2014-07-17T23:08:37.000000+02:00,0.10,0.15
6,Mast,1034130943,Light Fixture (gd),"Point;[587523.85],[6139306.84]",geodanmark,DSM GEODATA (P) LTD,2014-07-17T23:08:37.000000+02:00,0.10,0.15
7,Mast,1034130917,Light Fixture (gd),"Point;[587709.84],[6139237.69]",geodanmark,DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
8,Mast,1034130918,Light Fixture (gd),"Point;[587691.83],[6139225.55]",geodanmark,DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
9,Mast,1034130936,Light Fixture (gd),"Point;[587699.16],[6139212.63]",geodanmark,DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
10,Mast,1034130939,Light Fixture (gd),"Point;[587610.39],[6139240.05]",geodanmark,DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
11,Hegn,1034187479,Fence (gd),"LineString;[587477.91, 587485.86, 587459.79, 587451.35, 587444.74],[6139188.35, 6139193.64, 6139234.54, 6139230.09, 6139231.03]",geodanmark,DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
12,Hegn,1034187584,Fence (gd),"LineString;[587619.75, 587617.39, 587613.56, 587612.84, 587611.76, 587610.23, 587608.92, 587606.9, 587605.06, 587603.08, 587600.91, 587598.8, 587596.94, 587595.05, 587593.95, 587593.22, 587592.72, 587592.31, 587592.18, 587592.3, 587593.63, 587591.38],[6139126.39, 6139126.98, 6139111.39, 6139109.45, 6139107.86, 6139106.35, 6139105.41, 6139104.33, 6139103.69, 6139103.35, 6139103.16, 6139103.68, 6139104.99, 6139107.03, 6139108.91, 6139110.52, 6139111.92, 6139114.24, 6139116.49, 6139119.48, 6139131.38, 6139131.9]",geodanmark,DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
