,typename,id,label,geometry,service,actor,date,horizontal_precision,vertical_precision
0,Bygning,1071770813,Building (gd),"Polygon;[587752.69, 587766.77, 587759.77, 587751.99, 587751.06, 587747.98, 587749.19, 587745.98, 587752.69],[6137496.26, 6137474.36, 6137469.86, 6137481.97, 6137481.37, 6137486.16, 6137486.94, 6137491.94, 6137496.26]",geodanmark,Niras A/S,2020-03-20T20:37:09.811000+01:00,0.15,0.20
1,Bygning,1034234990,Building (gd),"Polygon;[587794.39, 587796.01, 587794.79, 587803.9, 587805.32, 587801.71, 587802.01, 587794.88, 587794.39],[6137523.8, 6137523.63, 6137511.91, 6137510.96, 6137524.49, 6137524.87, 6137527.72, 6137528.47, 6137523.8]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
2,Bygning,1034234991,Building (gd),"Polygon;[587802.35, 587804.81, 587805.56, 587803.1, 587802.35],[6137502.48, 6137502.17, 6137508.2, 6137508.51, 6137502.48]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
3,Bygning,1034235160,Building (gd),"Polygon;[587744.64, 587748.5, 587749.29, 587754.42, 587747.89, 587738.88, 587744.64],[6137462.67, 6137465.08, 6137463.77, 6137466.88, 6137477.64, 6137472.17, 6137462.67]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
4,Bygning,1034235233,Building (gd),"Polygon;[587727.77, 587730.55, 587728.26, 587725.47, 587727.77],[6137446.78, 6137447.97, 6137453.34, 6137452.14, 6137446.78]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
5,Bygning,1034235234,Building (gd),"Polygon;[587712.72, 587715.41, 587713.1, 587710.4, 587712.72],[6137490.33, 6137491.42, 6137497.12, 6137496.03, 6137490.33]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
6,Bygning,1114676407,Building (gd),"Polygon;[587835.65, 587835.54, 587838.79, 587838.91, 587838.91, 587839.4, 587839.06, 587836.13, 587835.65],[6137593.35, 6137592.59, 6137592.09, 6137592.86, 6137592.87, 6137596.09, 6137596.14, 6137596.57, 6137593.35]",geodanmark,Niras A/S,2018-04-10T17:53:41.000000+02:00,0.10,0.15
7,Bygning,1071757322,Building (gd),"Polygon;[587717.99, 587715.97, 587715.62, 587711.97, 587711.72, 587706.44, 587708.66, 587710.3, 587711.33, 587712.32, 587715.22, 587714.23, 587719.24, 587717.78, 587719.72, 587717.99],[6137547.36, 6137546.47, 6137547.28, 6137545.69, 6137546.24, 6137543.93, 6137538.84, 6137535.09, 6137535.54, 6137533.25, 6137534.52, 6137536.8, 6137539.0, 6137542.35, 6137543.2, 6137547.36]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,1.00,1.00
8,Bygning,1071764120,Building (gd),"Polygon;[587758.74, 587753.31, 587754.85, 587766.21, 587765.3, 587758.93, 587758.74],[6137560.24, 6137557.38, 6137554.47, 6137561.56, 6137563.27, 6137559.89, 6137560.24]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,1.00,1.00
9,Bygning,1071764170,Building (gd),"Polygon;[587771.17, 587773.18, 587782.47, 587777.38, 587772.62, 587770.39, 587765.62, 587768.02, 587771.17],[6137442.34, 6137439.11, 6137444.89, 6137453.07, 6137450.11, 6137453.7, 6137450.73, 6137446.87, 6137442.34]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
10,Bygning,1095491182,Building (gd),"Polygon;[587876.66, 587873.23, 587872.9, 587876.33, 587876.66],[6137444.67, 6137445.07, 6137442.32, 6137441.91, 6137444.67]",geodanmark,COWI,2016-04-14T18:11:15.000000+02:00,0.15,0.20
11,Bygning,1034235010,Building (gd),"Polygon;[587811.7, 587815.96, 587817.66, 587818.37, 587825.9, 587822.91, 587820.44, 587818.47, 587817.84, 587816.06, 587813.03, 587814.8, 587811.7],[6137644.16, 6137639.41, 6137640.93, 6137640.13, 6137646.9, 6137650.27, 6137648.07, 6137650.24, 6137649.67, 6137651.64, 6137648.92, 6137646.95, 6137644.16]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
12,Bygning,1034235012,Building (gd),"Polygon;[587846.89, 587849.96, 587850.79, 587847.72, 587846.89],[6137549.75, 6137549.34, 6137555.53, 6137555.94, 6137549.75]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
13,Bygning,1034235081,Building (gd),"Polygon;[587944.57, 587943.99, 587942.29, 587939.84, 587939.45, 587936.13, 587938.41, 587936.84, 587945.15, 587950.33, 587950.01, 587952.76, 587944.57],[6137546.35, 6137545.66, 6137547.11, 6137544.24, 6137544.57, 6137540.69, 6137538.74, 6137536.9, 6137529.79, 6137535.84, 6137536.12, 6137539.34, 6137546.35]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
14,Bygning,1034235225,Building (gd),"Polygon;[587832.54, 587831.68, 587834.91, 587834.48, 587839.25, 587839.36, 587841.97, 587842.06, 587845.59, 587845.7, 587849.04, 587849.83, 587840.34, 587840.49, 587836.55, 587836.59, 587832.54],[6137569.54, 6137560.76, 6137560.44, 6137556.02, 6137555.55, 6137556.67, 6137556.41, 6137557.36, 6137557.01, 6137558.05, 6137557.72, 6137565.8, 6137566.73, 6137568.27, 6137568.66, 6137569.15, 6137569.54]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
15,Bygning,1034242693,Building (gd),"Polygon;[587831.64, 587841.12, 587841.17, 587845.14, 587845.71, 587841.75, 587842.35, 587832.86, 587831.64],[6137399.59, 6137398.45, 6137398.86, 6137398.39, 6137403.22, 6137403.69, 6137408.62, 6137409.76, 6137399.59]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
16,Bygning,1034242698,Building (gd),"Polygon;[587837.44, 587826.77, 587826.36, 587837.01, 587837.44],[6137397.21, 6137398.38, 6137395.04, 6137393.65, 6137397.21]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
17,Bygning,1071760819,Building (gd),"Polygon;[587898.94, 587902.15, 587903.22, 587895.23, 587895.42, 587887.61, 587886.35, 587894.91, 587898.94],[6137434.02, 6137433.61, 6137441.9, 6137442.93, 6137444.38, 6137445.39, 6137435.62, 6137434.52, 6137434.02]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
18,Bygning,1071761291,Building (gd),"Polygon;[587856.13, 587856.5, 587850.64, 587850.28, 587856.13],[6137611.38, 6137614.42, 6137615.12, 6137612.08, 6137611.38]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,1.00,1.00
19,Bygning,1071764167,Building (gd),"Polygon;[587761.44, 587761.12, 587754.26, 587759.73, 587762.74, 587763.98, 587767.78, 587764.21, 587761.44],[6137447.02, 6137447.53, 6137443.26, 6137434.47, 6137436.35, 6137434.36, 6137436.72, 6137442.46, 6137447.02]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
20,Bygning,1071764629,Building (gd),"Polygon;[587944.96, 587944.66, 587942.58, 587941.6, 587945.54, 587945.63, 587949.0, 587949.14, 587951.4, 587951.63, 587956.52, 587957.51, 587950.28, 587950.13, 587944.96],[6137571.33, 6137568.71, 6137568.95, 6137560.49, 6137560.03, 6137560.81, 6137560.41, 6137561.55, 6137561.29, 6137563.23, 6137562.66, 6137571.15, 6137571.99, 6137570.72, 6137571.33]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,1.00,1.00
21,Bygning,1095492799,Building (gd),"Polygon;[587727.78, 587726.86, 587728.99, 587729.91, 587727.78],[6137528.59, 6137526.01, 6137525.25, 6137527.83, 6137528.59]",geodanmark,COWI,2016-04-14T18:11:15.000000+02:00,0.15,0.20
22,Bygning,1095492844,Building (gd),"Polygon;[587752.69, 587752.95, 587754.72, 587754.46, 587752.69],[6137535.24, 6137532.83, 6137533.02, 6137535.43, 6137535.24]",geodanmark,COWI,2016-04-14T18:11:15.000000+02:00,0.15,0.20
23,Bygning,1071766658,Building (gd),"Polygon;[587842.09, 587841.78, 587850.7, 587851.74, 587852.13, 587848.79, 587848.73, 587842.09],[6137428.41, 6137425.86, 6137424.59, 6137424.47, 6137427.8, 6137428.2, 6137427.62, 6137428.41]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,1.00,1.00
24,Bygning,1071766901,Building (gd),"Polygon;[587802.1, 587802.39, 587794.14, 587793.67, 587797.34, 587797.53, 587802.1],[6137398.37, 6137400.68, 6137401.71, 6137397.96, 6137397.5, 6137398.96, 6137398.37]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,1.00,1.00
25,Bygning,1034242893,Building (gd),"Polygon;[587925.37, 587931.59, 587931.95, 587925.74, 587925.37],[6137461.59, 6137460.89, 6137464.25, 6137464.95, 6137461.59]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
26,Bygning,1034242971,Building (gd),"Polygon;[587941.13, 587942.18, 587940.68, 587940.75, 587936.22, 587936.15, 587932.89, 587932.34, 587930.7, 587930.26, 587931.84, 587931.77, 587941.13],[6137450.15, 6137459.48, 6137459.65, 6137460.31, 6137460.82, 6137460.22, 6137460.59, 6137455.68, 6137455.87, 6137451.97, 6137451.8, 6137451.2, 6137450.15]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
27,Bygning,1071745711,Building (gd),"Polygon;[587933.81, 587936.47, 587936.91, 587931.09, 587930.75, 587933.91, 587933.81],[6137439.06, 6137438.71, 6137442.04, 6137442.82, 6137440.27, 6137439.85, 6137439.06]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,1.00,1.00
28,Bygning,1095485601,Building (gd),"Polygon;[587935.89, 587932.53, 587932.21, 587935.57, 587935.89],[6137489.4, 6137489.72, 6137486.37, 6137486.05, 6137489.4]",geodanmark,COWI,2016-04-14T18:11:15.000000+02:00,0.15,0.20
29,Bygning,1034242895,Building (gd),"Polygon;[587915.26, 587928.48, 587929.74, 587916.52, 587915.26],[6137479.31, 6137477.67, 6137487.87, 6137489.51, 6137479.31]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
30,Bygning,1071728250,Building (gd),"Polygon;[587775.39, 587775.56, 587777.08, 587778.81, 587779.03, 587782.98, 587781.97, 587783.36, 587779.57, 587770.69, 587772.4, 587775.39],[6137613.52, 6137613.23, 6137612.96, 6137614.01, 6137615.38, 6137617.77, 6137619.43, 6137620.28, 6137626.54, 6137621.15, 6137618.32, 6137613.52]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
31,Bygning,1071730634,Building (gd),"Polygon;[587764.12, 587765.6, 587769.99, 587768.51, 587764.12],[6137545.98, 6137543.52, 6137546.17, 6137548.62, 6137545.98]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
32,Bygning,1071756117,Building (gd),"Polygon;[587905.96, 587906.58, 587894.77, 587894.14, 587891.41, 587890.82, 587893.9, 587893.76, 587903.25, 587901.64, 587907.03, 587908.41, 587908.52, 587905.1, 587905.96],[6137511.41, 6137515.83, 6137517.49, 6137513.03, 6137513.41, 6137509.18, 6137508.75, 6137507.72, 6137506.38, 6137494.94, 6137494.18, 6137504.01, 6137504.76, 6137505.24, 6137511.41]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,1.00,1.00
33,Bygning,1071756118,Building (gd),"Polygon;[587908.41, 587908.91, 587909.88, 587905.96, 587905.1, 587908.52, 587908.41],[6137504.01, 6137503.94, 6137510.86, 6137511.41, 6137505.24, 6137504.76, 6137504.01]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,1.00,1.00
34,Bygning,1071756478,Building (gd),"Polygon;[587784.82, 587783.09, 587780.28, 587786.84, 587789.86, 587784.82],[6137629.46, 6137632.06, 6137630.26, 6137620.02, 6137621.96, 6137629.46]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
35,Bygning,1071756479,Building (gd),"Polygon;[587789.86, 587790.13, 587790.97, 587792.15, 587794.12, 587794.11, 587797.14, 587791.87, 587788.93, 587787.66, 587784.08, 587785.5, 587784.82, 587789.86],[6137621.96, 6137621.54, 6137622.08, 6137621.76, 6137623.02, 6137624.0, 6137625.97, 6137634.2, 6137632.32, 6137634.3, 6137632.01, 6137629.9, 6137629.46, 6137621.96]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
36,Bygning,1071757158,Building (gd),"Polygon;[587793.4, 587792.5, 587778.31, 587784.07, 587788.95, 587788.57, 587793.16, 587793.51, 587798.3, 587797.75, 587793.4],[6137466.56, 6137467.97, 6137458.92, 6137449.88, 6137452.99, 6137453.58, 6137456.5, 6137455.96, 6137459.02, 6137459.89, 6137466.56]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
37,Bygning,1071757159,Building (gd),"Polygon;[587797.75, 587799.48, 587795.2, 587793.4, 587797.75],[6137459.89, 6137461.0, 6137467.71, 6137466.56, 6137459.89]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
38,Bygning,1071757319,Building (gd),"Polygon;[587719.72, 587720.45, 587722.34, 587719.42, 587717.5, 587717.99, 587719.72],[6137543.2, 6137541.53, 6137542.36, 6137549.31, 6137548.47, 6137547.36, 6137543.2]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
39,Bygning,1071757321,Building (gd),"Polygon;[587710.18, 587714.26, 587712.32, 587711.33, 587710.3, 587708.66, 587705.73, 587708.75, 587710.18],[6137527.05, 6137528.83, 6137533.25, 6137535.54, 6137535.09, 6137538.84, 6137537.56, 6137530.65, 6137527.05]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,1.00,1.00
40,Bygning,1071757323,Building (gd),"Polygon;[587722.34, 587722.58, 587731.36, 587727.44, 587718.8, 587719.42, 587722.34],[6137542.36, 6137541.81, 6137545.56, 6137554.52, 6137550.74, 6137549.31, 6137542.36]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
41,Bygning,1071757390,Building (gd),"Polygon;[587756.15, 587753.28, 587753.87, 587759.72, 587759.47, 587756.5, 587756.15],[6137404.95, 6137404.51, 6137400.36, 6137401.23, 6137402.95, 6137402.52, 6137404.95]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,1.00,1.00
42,Bygning,1071757391,Building (gd),"Polygon;[587759.47, 587767.24, 587765.91, 587755.18, 587756.15, 587756.5, 587759.47],[6137402.95, 6137404.06, 6137413.29, 6137411.76, 6137404.95, 6137402.52, 6137402.95]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,1.00,1.00
