,ID_img,timestamp,fix,nSat,hErr,alt,altU,h,hU,dgpsAge,checksum,date,typename,subcategory,detail,Measurement,note,energifyn,fjernvarme,geodanmark,kortopslag,samaqua,geometry,label,id
0,,,,,,,,,,,,13/12/2020,Downspout Grille,Holes,,Totalstation,,,,,23667,,"Point;[587670.4376],[6139561.332]",Downspout Grille,0
1,,,,,,,,,,,,13/12/2020,Downspout Grille,Holes,,Totalstation,,,,,23672,,"Point;[587668.1952],[6139556.027]",Downspout Grille,1
2,,,,,,,,,,,,13/12/2020,Downspout Grille,Holes,,Totalstation,,,,,23674,,"Point;[587682.1708],[6139550.48]",Downspout Grille,2
3,,,,,,,,,,,,13/12/2020,Downspout Grille,Holes,,Totalstation,,,,1034131762,23673,,"Point;[587683.8239],[6139555.949]",Downspout Grille,3
4,,,,,,,,,,,,13/12/2020,Downspout Grille,Holes,,Totalstation,,,,,23665,,"Point;[587700.4111],[6139551.951]",Downspout Grille,4
5,,,,,,,,,,,,13/12/2020,Downspout Grille,Holes,,Totalstation,,,,,44362,,"Point;[587699.3154],[6139546.487]",Downspout Grille,5
6,,,,,,,,,,,,13/12/2020,Downspout Grille,Wavy,,Totalstation,,,,1034131761,23675,,"Point;[587692.5801],[6139542.113]",Downspout Grille,6
7,,,,,,,,,,,,13/12/2020,Downspout Grille,Holes,,Totalstation,,,,,23676,,"Point;[587690.1571],[6139548.266]",Downspout Grille,7
8,,,,,,,,,,,,13/12/2020,Downspout Grille,Straight,Private,Totalstation,,,,,,,"Point;[587674.166],[6139563.572]",Downspout Grille,8
9,,,,,,,,,,,,13/12/2020,Downspout Grille,Holes,,Totalstation,,,,,23668,,"Point;[587656.4861],[6139569.078]",Downspout Grille,9
10,,,,,,,,,,,,13/12/2020,Downspout Grille,Holes,,Totalstation,,,,,23671,,"Point;[587653.5418],[6139564.112]",Downspout Grille,10
11,,,,,,,,,,,,13/12/2020,Downspout Grille,Holes,,Totalstation,,,,,23670,,"Point;[587642.1122],[6139570.973]",Downspout Grille,11
12,,,,,,,,,,,,13/12/2020,Downspout Grille,Holes,,Totalstation,,,,,23669,,"Point;[587645.2937],[6139576.088]",Downspout Grille,12
13,,,,,,,,,,,,13/12/2020,Downspout Grille,Holes,,Totalstation,,,,,44353,,"Point;[587630.2162],[6139585.154]",Downspout Grille,13
14,,,,,,,,,,,,13/12/2020,Downspout Grille,Holes,,Totalstation,,,,,47123,,"Point;[587627.0791],[6139580.166]",Downspout Grille,14
15,,,,,,,,,,,,13/12/2020,Downspout Grille,Straight,Private,Totalstation,,,,,,,"Point;[587670.1498],[6139565.885]",Downspout Grille,15
16,,,,,,,,,,,,13/12/2020,Light Fixture,Standing,,Totalstation,,45519,,1034131981,,,"Point;[587705.4087],[6139552.461]",Light Fixture,16
17,,,,,,,,,,,,13/12/2020,Light Fixture,Hanging,,Totalstation,,38596,,,,,"Point;[587703.1415],[6139549.495]",Light Fixture,17
18,,,,,,,,,,,,13/12/2020,Light Fixture,Standing,,Totalstation,,45520,,1034131743,,,"Point;[587680.1761],[6139558.291]",Light Fixture,18
19,,,,,,,,,,,,13/12/2020,Light Fixture,Hanging,,Totalstation,,45525,,,,,"Point;[587679.4043],[6139555.284]",Light Fixture,19
20,,,,,,,,,,,,13/12/2020,Light Fixture,Standing,,Totalstation,,18652,,,,,"Point;[587662.5281],[6139566.451]",Light Fixture,20
21,,,,,,,,,,,,13/12/2020,Light Fixture,Hanging,,Totalstation,,45524,,,,,"Point;[587654.183],[6139566.603]",Light Fixture,21
22,,,,,,,,,,,,13/12/2020,Light Fixture,Standing,,Totalstation,,45521,,,,,"Point;[587649.9483],[6139564.409]",Light Fixture,22
23,,,,,,,,,,,,13/12/2020,Light Fixture,Hanging,,Totalstation,,45523,,,,,"Point;[587635.3198],[6139578.697]",Light Fixture,23
24,,,,,,,,,,,,13/12/2020,Tree,,,Totalstation,,,,,6374,,"Point;[587641.6172],[6139570.173]",Tree,24
25,,,,,,,,,,,,13/12/2020,Tree,,,Totalstation,,,,,625,,"Point;[587652.0298],[6139563.04]",Tree,25
26,,,,,,,,,,,,13/12/2020,Greenery,Flowerbed,,Totalstation,,,,,,,"Point;[587690.4949],[6139548.769]",Greenery,26
27,,,,,,,,,,,,13/12/2020,Greenery,Flowerbed,,Totalstation,,,,,,,"Point;[587696.4901],[6139554.032]",Greenery,27
28,,,,,,,,,,,,13/12/2020,Manhole Cover,Large,"Ulefos,SquareFrame",Totalstation,,,,1034131769,,9b03aecd-cfb4-481b-88fa-1ca682bd50b1,"Point;[587699.9079],[6139550.133]",Manhole Cover,28
29,,,,,,,,,,,,13/12/2020,Manhole Cover,Small Square,,Totalstation,,,,,23677,,"Point;[587691.6439],[6139544.163]",Manhole Cover,29
