,ID_img,timestamp,fix,nSat,hErr,alt,altU,h,hU,dgpsAge,checksum,date,typename,subcategory,detail,Measurement,note,energifyn,fjernvarme,geodanmark,kortopslag,samaqua,geometry,label,id
0,2,113957,4,13,0.7,7.826,M,39.466,M,1,0026*49,,Bench,,,GNSS,,,,,4680,,"Point;[587584.4441],[6139148.139]",Bench,0
1,27,121516.15,4,15,0.7,9.478,M,39.466,M,1.1,0026*47,,Bench,,,GNSS,,,,,11576,,"Point;[587511.6718],[6139233.734]",Bench,1
2,48,122234.1,4,15,0.7,9.604,M,39.466,M,1.1,0026*4F,,Bench,,,GNSS,,,,,10211,,"Point;[587505.4434],[6139282.251]",Bench,2
3,93,130905.85,4,11,1.1,8.668,M,39.466,M,0.9,0009*43,,Bench,,,GNSS,,,,,2663,,"Point;[587595.8498],[6139336.245]",Bench,3
4,103,132514.45,4,8,1.8,7.803,M,39.466,M,1.5,0009*4E,,Bench,,,GNSS,,,,,1297,,"Point;[587665.3666],[6139328.526]",Bench,4
5,49,122316.05,4,14,0.7,8.999,M,39.466,M,1,0026*40,,Fuse Box,,,GNSS,,1217,,,,,"Point;[587505.0501],[6139271.166]",Fuse Box,5
6,30,121706.7,4,15,0.7,9.391,M,39.466,M,1.7,0026*4F,,Light Fixture,Ground,,GNSS,,47430,,,,,"Point;[587499.158],[6139266.411]",Light Fixture,6
7,31,121721.75,4,15,0.7,9.389,M,39.466,M,1.8,0026*45,,Light Fixture,Ground,,GNSS,,47431,,,,,"Point;[587498.9848],[6139269.295]",Light Fixture,7
8,32,121735.25,4,15,0.7,9.374,M,39.466,M,1.3,0026*46,,Light Fixture,Ground,,GNSS,,47432,,,,,"Point;[587498.9708],[6139269.905]",Light Fixture,8
9,33,121746.4,4,15,0.7,9.386,M,39.466,M,1.4,0026*40,,Light Fixture,Ground,,GNSS,,47433,,,,,"Point;[587498.9304],[6139272.482]",Light Fixture,9
10,34,121758.85,4,15,0.7,9.382,M,39.466,M,0.9,0026*4C,,Light Fixture,Ground,,GNSS,,47434,,,,,"Point;[587498.928],[6139273.113]",Light Fixture,10
11,35,121810.5,4,15,0.7,9.37,M,39.466,M,1.5,0026*40,,Light Fixture,Ground,,GNSS,,47435,,,,,"Point;[587499.0135],[6139275.702]",Light Fixture,11
12,36,121819.75,4,15,0.7,9.374,M,39.466,M,1.8,0026*40,,Light Fixture,Ground,,GNSS,,47436,,,,,"Point;[587499.0452],[6139276.307]",Light Fixture,12
13,37,121829.95,4,15,0.7,9.359,M,39.466,M,0.9,0026*46,,Light Fixture,Ground,,GNSS,,47437,,,,,"Point;[587499.2193],[6139278.869]",Light Fixture,13
14,38,121839,4,15,0.7,9.356,M,39.466,M,2,0026*4F,,Light Fixture,Ground,,GNSS,,47438,,,,,"Point;[587499.2857],[6139279.484]",Light Fixture,14
15,39,121854.3,4,15,0.7,9.372,M,39.466,M,1.3,0026*42,,Light Fixture,Ground,,GNSS,,47439,,,,,"Point;[587499.6181],[6139281.985]",Light Fixture,15
16,39,121854.5,4,15,0.7,9.372,M,39.466,M,1.5,0026*44,,Light Fixture,Ground,,GNSS,,47447,,,,,"Point;[587499.6169],[6139281.983]",Light Fixture,16
17,40,121926.75,4,15,0.7,9.392,M,39.466,M,1.8,0026*43,,Light Fixture,Ground,,GNSS,,47446,,,,,"Point;[587500.3393],[6139285.329]",Light Fixture,17
18,41,121942.65,4,15,0.7,9.383,M,39.466,M,1.6,0026*47,,Light Fixture,Ground,,GNSS,,47445,,,,,"Point;[587500.553],[6139285.931]",Light Fixture,18
19,41,121956.85,4,15,0.7,9.395,M,39.466,M,1.9,0026*46,,Light Fixture,Ground,,GNSS,,47444,,,,,"Point;[587501.9693],[6139289.017]",Light Fixture,19
20,41,122014.05,4,15,0.7,9.416,M,39.466,M,1,0026*4D,,Light Fixture,Ground,,GNSS,,47443,,,,,"Point;[587502.2736],[6139289.549]",Light Fixture,20
21,43,122046.95,4,15,0.7,9.4,M,39.466,M,2,0026*49,,Light Fixture,Ground,,GNSS,,47442,,,,,"Point;[587504.8869],[6139293.049]",Light Fixture,21
22,44,122103.35,4,15,0.7,9.561,M,39.466,M,1.4,0026*4D,,Light Fixture,Ground,,GNSS,,47441,,,,,"Point;[587505.3039],[6139293.527]",Light Fixture,22
23,45,122121.95,4,14,0.7,9.546,M,39.466,M,0.9,0026*4A,,Light Fixture,Ground,,GNSS,,47440,,,,,"Point;[587509.3719],[6139297.25]",Light Fixture,23
24,46,122132.75,4,13,0.8,9.553,M,39.466,M,1.8,0026*43,,Light Fixture,Ground,,GNSS,,47429,,,,,"Point;[587509.8461],[6139297.619]",Light Fixture,24
25,47,122154.2,4,14,0.7,9.581,M,39.466,M,1.2,0026*4E,,Light Fixture,Standing,,GNSS,,45448,,,,,"Point;[587512.6876],[6139300.445]",Light Fixture,25
26,52,122528.25,4,13,0.9,9.334,M,39.466,M,1.3,0026*49,,Light Fixture,Standing,,GNSS,,6819,,,,,"Point;[587520.1972],[6139293.866]",Light Fixture,26
27,57,122810.3,4,11,0.9,9.554,M,39.466,M,1.3,0026*41,,Light Fixture,Standing,,GNSS,,45449,,1034130943,,,"Point;[587523.8037],[6139307.272]",Light Fixture,27
28,58,122902.85,4,13,0.8,9.507,M,39.466,M,0.9,0026*4D,,Light Fixture,Ground,,GNSS,,47412,,,,,"Point;[587527.2599],[6139309.04]",Light Fixture,28
29,59,122922.9,4,10,1,9.323,M,39.466,M,1.9,0026*4E,,Light Fixture,Ground,,GNSS,,47428,,,,,"Point;[587527.7289],[6139309.416]",Light Fixture,29
30,60,122946.05,4,12,0.8,9.3,M,39.466,M,1,0026*46,,Light Fixture,Ground,,GNSS,,47427,,,,,"Point;[587530.7494],[6139312.412]",Light Fixture,30
31,61,123132.2,4,11,1,9.21,M,39.466,M,1.2,0009*4E,,Light Fixture,Ground,,GNSS,,47426,,,,,"Point;[587531.1653],[6139312.844]",Light Fixture,31
32,62,123157.5,4,13,0.8,9.193,M,39.466,M,1.5,0009*41,,Light Fixture,Ground,,GNSS,,47425,,,,,"Point;[587533.9911],[6139316.009]",Light Fixture,32
33,63,123218.75,4,11,1,9.085,M,39.466,M,0.8,0009*4F,,Light Fixture,Ground,,GNSS,,47424,,,,,"Point;[587534.396],[6139316.487]",Light Fixture,33
34,64,123238.65,4,13,0.8,9.087,M,39.466,M,1.6,0009*4A,,Light Fixture,Ground,,GNSS,,47423,,,,,"Point;[587536.7791],[6139318.875]",Light Fixture,34
35,66,123300.55,4,13,0.8,8.972,M,39.466,M,1.5,0009*42,,Light Fixture,Ground,,GNSS,,47422,,,,,"Point;[587537.2426],[6139319.308]",Light Fixture,35
36,66,123328.2,4,12,0.9,8.921,M,39.466,M,1.2,0009*47,,Light Fixture,Ground,,GNSS,,47421,,,,,"Point;[587539.9036],[6139321.296]",Light Fixture,36
37,67,123348.3,4,12,0.9,8.772,M,39.466,M,1.3,0009*4B,,Light Fixture,Ground,,GNSS,,47420,,,,,"Point;[587540.4311],[6139321.598]",Light Fixture,37
38,67,123406.4,4,12,0.9,8.784,M,39.466,M,1.4,0009*40,,Light Fixture,Ground,,GNSS,,47419,,,,,"Point;[587543.0958],[6139322.918]",Light Fixture,38
39,68,123424.6,4,12,0.9,8.793,M,39.466,M,1.6,0009*4F,,Light Fixture,Ground,,GNSS,,47418,,,,,"Point;[587543.689],[6139323.136]",Light Fixture,39
40,69,123441.85,4,13,0.8,8.757,M,39.466,M,1.9,0009*45,,Light Fixture,Ground,,GNSS,,47417,,,,,"Point;[587546.4484],[6139323.963]",Light Fixture,40
41,70,123548.4,4,12,0.9,8.632,M,39.466,M,1.4,0009*4A,,Light Fixture,Ground,,GNSS,,47416,,,,,"Point;[587547.0602],[6139324.139]",Light Fixture,41
42,71,123605.15,4,13,0.8,8.614,M,39.466,M,1.1,0009*48,,Light Fixture,Ground,,GNSS,,47415,,,,,"Point;[587549.5374],[6139324.659]",Light Fixture,42
43,72,123624,4,13,0.8,8.613,M,39.466,M,1,0009*4B,,Light Fixture,Ground,,GNSS,,47414,,,,,"Point;[587550.1351],[6139324.774]",Light Fixture,43
44,73,123640.85,4,13,0.8,8.522,M,39.466,M,0.9,0009*43,,Light Fixture,Ground,,GNSS,,47413,,,,,"Point;[587552.0354],[6139325.186]",Light Fixture,44
45,77,124310.15,4,12,1,8.689,M,39.466,M,1.1,0009*4A,,Manhole Cover,Special Cover,Green,GNSS,,,,,,,"Point;[587559.6506],[6139329.373]",Manhole Cover,45
