,Unnamed: 0.1,ID_img,timestamp,fix,nSat,hErr,alt,altU,h,hU,dgpsAge,checksum,date,typename,subcategory,detail,Measurement,note,energifyn,fjernvarme,geodanmark,kortopslag,samaqua,geometry,label,id
0,80,84,104857.15,4,9,,22.376,M,39.413,M,1.1,0008*7A,,Tree Stump,,,GNSS,,,,1103670638,,,"Point;[590671.3696],[6136686.314]",Tree Stump,0
1,289,304,133825.75,5,7,,26.247,M,39.415,M,1.8,0024*73,,Tree,Collection of Trees,,GNSS,,,,,,,"Point;[590672.3786],[6136776.85]",Tree,1
2,287,301,133427.65,4,9,,23.442,M,39.415,M,1.6,0024*74,,Tree,,,GNSS,,,,1202734429,,,"Point;[590772.1839],[6136812.522]",Tree,2
3,286,300,133403.9,4,10,,23.444,M,39.415,M,0.9,0024*78,,Tree,,,GNSS,,,,1202734430,,,"Point;[590767.2273],[6136811.849]",Tree,3
4,285,299,133350.45,4,9,,23.532,M,39.415,M,1.5,0024*71,,Tree,,,GNSS,,,,1202734425,,,"Point;[590762.2019],[6136811.34]",Tree,4
5,284,298,133337.5,4,11,,23.5,M,39.415,M,1.5,0024*71,,Tree,,,GNSS,,,,1202734426,,,"Point;[590757.4176],[6136810.98]",Tree,5
6,283,297,133318.95,4,13,,23.476,M,39.415,M,0.9,0024*70,,Tree,,,GNSS,,,,1202734427,,,"Point;[590752.2648],[6136810.407]",Tree,6
7,282,296,133259.2,4,10,,23.154,M,39.415,M,1.2,0024*7E,,Tree,,,GNSS,,,,1202734428,,,"Point;[590747.4316],[6136810.082]",Tree,7
8,280,294,133226.75,4,9,,23.455,M,39.415,M,1.8,0024*71,,Tree,,,GNSS,,,,1202734421,,,"Point;[590736.5102],[6136808.855]",Tree,9
9,279,293,133212.9,4,9,,23.424,M,39.415,M,0.9,0024*7A,,Tree,,,GNSS,,,,1202734422,,,"Point;[590731.5743],[6136808.437]",Tree,10
10,278,292,133157.25,4,8,,23.37,M,39.415,M,2.3,0024*77,,Tree,,,GNSS,,,,1202734423,,,"Point;[590726.4497],[6136807.941]",Tree,11
11,276,290,133114.6,4,8,,23.146,M,39.415,M,1.6,0024*76,,Tree,,,GNSS,,,,1202734424,,,"Point;[590716.607],[6136806.892]",Tree,13
12,226,238,130622.25,4,11,,23.631,M,39.415,M,1.3,0024*74,,Tree,,,GNSS,,,,,,,"Point;[590747.525],[6136754.709]",Tree,15
13,225,237,130601.45,4,11,,23.475,M,39.415,M,1.5,0024*74,,Tree,,,GNSS,,,,,,,"Point;[590759.5837],[6136755.911]",Tree,16
14,224,236,130539.8,4,10,,23.525,M,39.415,M,1.8,0024*7F,,Tree,,,GNSS,,,,,,,"Point;[590771.2048],[6136757.001]",Tree,17
15,216,227,130122.75,4,10,,23.019,M,39.415,M,0.8,0024*79,,Tree,,,GNSS,,,,1034135478,,,"Point;[590777.409],[6136729.676]",Tree,18
16,215,226,130108.85,4,7,,22.87,M,39.415,M,1.9,0024*7D,,Tree,,,GNSS,,,,1034135475,,,"Point;[590773.3225],[6136729.257]",Tree,19
17,213,223,130041.3,4,7,,22.91,M,39.415,M,1.3,0024*75,,Tree,,,GNSS,,,,1034135476,,,"Point;[590769.5742],[6136728.799]",Tree,20
18,207,217,125852.05,4,11,,22.826,M,39.415,M,1,0024*7A,,Tree,,,GNSS,,,,1034135702,,,"Point;[590739.9249],[6136725.99]",Tree,21
19,205,215,125829.25,4,7,,22.953,M,39.415,M,1.3,0024*70,,Tree,,,GNSS,,,,1034135703,,,"Point;[590735.9046],[6136725.777]",Tree,22
20,202,212,125802.05,4,8,,22.953,M,39.415,M,2,0024*74,,Tree,,,GNSS,,,,1034135470,,,"Point;[590731.7504],[6136725.325]",Tree,23
21,187,197,125211.85,4,12,,22.928,M,39.415,M,0.9,0024*7E,,Tree,,,GNSS,,,,1034135473,,,"Point;[590764.2198],[6136710.408]",Tree,24
22,186,196,125200.8,4,11,,22.924,M,39.415,M,0.8,0024*76,,Tree,,,GNSS,,,,1034135705,,,"Point;[590760.3238],[6136709.978]",Tree,25
23,185,195,125148.15,4,10,,22.918,M,39.415,M,1.1,0024*77,,Tree,,,GNSS,,,,1034135706,,,"Point;[590756.3487],[6136709.661]",Tree,26
24,170,179,124450.95,4,8,,23.084,M,39.415,M,2,0024*7D,,Tree,,,GNSS,,,,1034135711,,,"Point;[590729.6419],[6136688.989]",Tree,27
25,169,177,124429.75,4,7,,22.771,M,39.415,M,1.8,0024*76,,Tree,,,GNSS,,,,1034135708,,,"Point;[590734.2001],[6136689.406]",Tree,28
26,166,174,124336.65,4,8,,22.792,M,39.415,M,0.6,0024*75,,Tree,,,GNSS,,,,1034135709,,,"Point;[590739.1133],[6136689.924]",Tree,29
27,114,119,110457.1,4,7,,22.94,M,39.413,M,1.1,0008*7D,,Tree,,,GNSS,,,,1103670864,,,"Point;[590661.1288],[6136729.368]",Tree,30
28,113,118,110443.5,4,7,,23.153,M,39.413,M,1.5,0008*7D,,Tree,,,GNSS,,,,1103670765,,,"Point;[590654.878],[6136728.419]",Tree,31
29,112,117,110427.25,4,7,,23.174,M,39.413,M,1.3,0008*70,,Tree,,,GNSS,,,,1103670440,,,"Point;[590657.2424],[6136722.854]",Tree,32
30,110,115,110327.85,5,6,,23.397,M,39.413,M,0.9,0008*7B,,Tree,,,GNSS,,,,1103670623,,,"Point;[590655.6799],[6136716.079]",Tree,33
31,109,114,110240.5,4,8,,23.085,M,39.413,M,1.5,0008*72,,Tree,,,GNSS,,,,1103670421,,,"Point;[590659.9383],[6136716.214]",Tree,34
32,102,106,105755.1,5,10,,22.006,M,39.413,M,1.1,0008*7D,,Tree,,,GNSS,,,,1067406484,,,"Point;[590677.8243],[6136704.308]",Tree,35
33,101,105,105704.2,4,9,,23.726,M,39.413,M,2.2,0008*77,,Tree,,,GNSS,,,,1103670438,,,"Point;[590679.2639],[6136717.493]",Tree,36
34,100,104,105652.5,4,11,,23.607,M,39.413,M,1.5,0008*75,,Tree,,,GNSS,,,,1103670854,,,"Point;[590675.5964],[6136717.294]",Tree,37
35,96,100,105550.7,4,10,,23.233,M,39.413,M,1.7,0008*78,,Tree,,,GNSS,,,,1103670643,,,"Point;[590671.6233],[6136722.746]",Tree,38
36,95,99,105539.2,4,11,,23.31,M,39.413,M,1.2,0008*7C,,Tree,,,GNSS,,,,1103670532,,,"Point;[590676.7474],[6136721.419]",Tree,39
37,94,98,105530.25,4,10,,23.632,M,39.413,M,1.3,0008*77,,Tree,,,GNSS,,,,1103670755,,,"Point;[590678.827],[6136725.639]",Tree,40
38,93,97,105519.85,4,11,,23.445,M,39.413,M,0.9,0008*73,,Tree,,,GNSS,,,,1103670626,,,"Point;[590683.3306],[6136723.934]",Tree,41
39,92,96,105459.75,4,14,,22.937,M,39.413,M,1.8,0008*78,,Tree,,,GNSS,,,,1103670842,,,"Point;[590693.4318],[6136728.364]",Tree,42
40,91,95,105448.15,4,12,,23.282,M,39.413,M,1.1,0008*77,,Tree,,,GNSS,,,,1103670502,,,"Point;[590692.413],[6136722.442]",Tree,43
41,90,94,105434.65,4,12,,22.539,M,39.413,M,1.6,0008*73,,Tree,,,GNSS,,,,1103670396,,,"Point;[590695.2436],[6136716.746]",Tree,44
42,89,93,105413.15,4,12,,22.953,M,39.413,M,1.1,0008*7A,,Tree,,,GNSS,,,,1103670365,,,"Point;[590705.2503],[6136714.83]",Tree,45
43,88,92,105335.7,4,10,,23.098,M,39.413,M,1.7,0008*7A,,Tree,,,GNSS,,,,1103670351,,,"Point;[590708.713],[6136685.76]",Tree,46
44,87,91,105314.1,4,9,,23.003,M,39.413,M,1.1,0008*7A,,Tree,,,GNSS,,,,1103670490,,,"Point;[590709.6413],[6136675.021]",Tree,47
45,86,90,105300.7,4,12,,22.356,M,39.413,M,1.7,0008*78,,Tree,,,GNSS,,,,1103670496,,,"Point;[590707.0091],[6136679.543]",Tree,48
46,85,89,105242.7,4,11,,23.18,M,39.413,M,1.7,0008*70,,Tree,,,GNSS,,,,1103670783,,,"Point;[590697.684],[6136679.82]",Tree,49
47,79,83,104821.7,4,5,,23.868,M,39.413,M,0.7,0008*79,,Tree,,,GNSS,,,,1103670627,,,"Point;[590673.2085],[6136687.412]",Tree,50
48,71,74,104519.2,4,8,,23.502,M,39.413,M,1.2,0008*71,,Tree,,,GNSS,,,,1103670586,,,"Point;[590685.5268],[6136663.9]",Tree,51
49,70,73,104508.9,4,8,,23.165,M,39.413,M,0.9,0008*74,,Tree,,,GNSS,,,,1103670759,,,"Point;[590689.8672],[6136661.378]",Tree,52
50,69,72,104456.95,4,8,,23.163,M,39.413,M,2,0008*7B,,Tree,,,GNSS,,,,1103670394,,,"Point;[590686.5717],[6136658.037]",Tree,53
51,66,69,104405.1,4,9,,22.22,M,39.413,M,1.1,0008*7D,,Tree,,,GNSS,,,,,,,"Point;[590691.2809],[6136655.71]",Tree,54
52,58,61,104124.55,4,10,,23.121,M,39.413,M,1.5,0008*73,,Tree,,,GNSS,,,,1103670542,,,"Point;[590706.6116],[6136647.557]",Tree,55
