,typename,id,label,geometry,service,super_category,category,sub_category,note,date
0,TL695099,41051,Building (ki),"Polygon;[587510.94, 587510.53, 587509.72, 587506.59, 587493.59, 587497.68, 587498.19, 587505.17, 587507.42, 587506.31, 587513.02, 587517.94, 587515.75, 587513.96, 587514.96, 587513.33, 587510.94],[6139529.86, 6139530.77, 6139532.6, 6139539.96, 6139534.62, 6139524.95, 6139524.44, 6139527.3, 6139523.68, 6139522.99, 6139510.58, 6139513.24, 6139517.29, 6139520.06, 6139520.79, 6139524.46, 6139529.86]",kortopslag,,,,,
1,TL695099,142931,Building (ki),"Polygon;[587624.87, 587616.82, 587618.58, 587622.94, 587624.44, 587625.82, 587636.67, 587654.07, 587647.63, 587640.77, 587639.25, 587637.53, 587633.16, 587631.52, 587627.94, 587622.95, 587624.87],[6139651.12, 6139646.31, 6139642.66, 6139633.64, 6139630.52, 6139627.64, 6139605.17, 6139617.84, 6139628.46, 6139639.76, 6139642.27, 6139645.1, 6139652.3, 6139651.32, 6139657.31, 6139654.32, 6139651.12]",kortopslag,,,,,
2,TL695099,48522,Building (ki),"Polygon;[587646.22, 587638.79, 587638.19, 587636.76, 587635.46, 587634.45, 587633.88, 587633.84, 587634.35, 587635.3, 587636.38, 587641.46, 587642.46, 587663.62, 587666.57, 587666.02, 587657.1, 587658.14, 587656.88, 587657.6, 587658.93, 587660.94, 587663.07, 587661.0, 587658.71, 587653.09, 587646.22],[6139599.94, 6139595.12, 6139596.63, 6139595.62, 6139594.2, 6139592.39, 6139590.3, 6139588.1, 6139586.0, 6139584.16, 6139582.76, 6139579.65, 6139581.29, 6139568.35, 6139573.18, 6139575.03, 6139580.48, 6139581.86, 6139582.81, 6139584.16, 6139584.7, 6139579.76, 6139580.63, 6139585.55, 6139591.27, 6139590.4, 6139599.94]",kortopslag,,,,,
3,TL695099,84305,Building (ki),"Polygon;[587625.82, 587624.44, 587622.94, 587604.78, 587608.5, 587615.56, 587613.55, 587615.59, 587622.95, 587624.18, 587625.82],[6139627.64, 6139630.52, 6139633.64, 6139624.65, 6139618.35, 6139622.31, 6139626.14, 6139625.32, 6139629.19, 6139626.85, 6139627.64]",kortopslag,,,,,
4,TL695099,80736,Building (ki),"Polygon;[587549.44, 587554.43, 587575.65, 587577.28, 587573.44, 587571.67, 587570.49, 587549.44],[6139649.82, 6139641.2, 6139653.49, 6139654.43, 6139661.06, 6139660.04, 6139662.07, 6139649.82]",kortopslag,,,,,
5,TL695099,109810,Building (ki),"Polygon;[587647.63, 587654.07, 587655.87, 587656.93, 587662.68, 587661.65, 587663.63, 587657.43, 587655.83, 587647.63],[6139628.46, 6139617.84, 6139619.05, 6139617.45, 6139621.29, 6139622.83, 6139624.15, 6139634.47, 6139633.44, 6139628.46]",kortopslag,,,,,
6,TL695099,73199,Building (ki),"Polygon;[587572.64, 587572.17, 587572.34, 587565.0, 587556.32, 587562.85, 587585.6, 587586.37, 587583.71, 587584.54, 587580.32, 587572.64],[6139718.76, 6139718.5, 6139718.2, 6139714.23, 6139709.13, 6139697.39, 6139710.04, 6139710.48, 6139715.12, 6139715.6, 6139723.09, 6139718.76]",kortopslag,,,,,
7,TL695099,106441,Building (ki),"Polygon;[587624.18, 587615.56, 587608.5, 587608.25, 587608.5, 587607.06, 587609.44, 587610.87, 587616.85, 587615.65, 587617.77, 587618.96, 587619.53, 587620.01, 587620.54, 587621.08, 587636.67, 587625.82, 587624.18],[6139626.85, 6139622.31, 6139618.35, 6139618.2, 6139617.78, 6139616.93, 6139612.91, 6139613.76, 6139603.64, 6139602.94, 6139599.36, 6139600.06, 6139599.1, 6139598.87, 6139598.73, 6139598.71, 6139605.17, 6139627.64, 6139626.85]",kortopslag,,,,,
8,TL695099,41260,Building (ki),"Polygon;[587645.18, 587637.53, 587639.25, 587640.77, 587647.63, 587655.83, 587651.34, 587650.65, 587648.36, 587646.89, 587645.18],[6139649.69, 6139645.1, 6139642.27, 6139639.76, 6139628.46, 6139633.44, 6139640.95, 6139640.54, 6139644.37, 6139646.84, 6139649.69]",kortopslag,,,,,
9,TL695099,118437,Building (ki),"Polygon;[587653.45, 587651.17, 587662.77, 587664.63, 587641.57, 587633.23, 587626.17, 587638.1, 587630.63, 587619.99, 587614.58, 587608.94, 587607.36, 587587.85, 587597.96, 587602.42, 587629.57, 587632.48, 587643.03, 587639.86, 587641.22, 587639.27, 587634.61, 587653.45],[6139736.73, 6139741.25, 6139747.11, 6139748.08, 6139792.33, 6139787.98, 6139801.52, 6139807.74, 6139822.62, 6139817.23, 6139820.66, 6139811.72, 6139812.72, 6139782.06, 6139763.96, 6139755.98, 6139707.38, 6139702.17, 6139708.13, 6139713.36, 6139714.03, 6139717.98, 6139727.25, 6139736.73]",kortopslag,,,,,
