,typename,id,label,geometry,service,super_category,category,sub_category,note,date
0,TL695099,140733,Building (ki),"Polygon;[587232.17, 587240.74, 587240.83, 587240.84, 587232.26, 587232.2, 587232.17],[6140995.99, 6140995.93, 6141008.3, 6141009.3, 6141009.36, 6141001.74, 6140995.99]",kortopslag,,,,,
1,TL695099,45225,Building (ki),"Polygon;[587331.94, 587321.64, 587324.58, 587334.88, 587331.94],[6141044.54, 6141038.83, 6141033.54, 6141039.25, 6141044.54]",kortopslag,,,,,
2,TL695099,44369,Building (ki),"Polygon;[587369.77, 587359.45, 587359.82, 587354.66, 587349.42, 587349.54, 587341.39, 587346.25, 587346.86, 587347.34, 587308.24, 587317.4, 587319.45, 587325.21, 587325.33, 587369.77],[6141073.34, 6141091.3, 6141091.51, 6141100.48, 6141097.47, 6141097.25, 6141092.56, 6141084.12, 6141084.48, 6141083.65, 6141061.17, 6141045.23, 6141044.69, 6141048.0, 6141047.79, 6141073.34]",kortopslag,,,,,
3,TL695099,26825,Building (ki),"Polygon;[587377.39, 587379.86, 587377.9, 587375.43, 587377.39],[6141089.55, 6141090.99, 6141094.36, 6141092.91, 6141089.55]",kortopslag,,,,,
4,TL695099,95850,Building (ki),"Polygon;[587374.97, 587366.5, 587377.55, 587393.83, 587382.49, 587382.21, 587380.05, 587380.27, 587374.99, 587360.31, 587362.82, 587360.36, 587356.26, 587346.64, 587351.94, 587350.84, 587353.05, 587363.78, 587373.36, 587374.97],[6141043.57, 6141037.38, 6141026.69, 6141032.22, 6141051.65, 6141051.48, 6141055.19, 6141055.32, 6141064.37, 6141055.81, 6141048.03, 6141046.59, 6141053.62, 6141048.0, 6141038.9, 6141038.26, 6141034.47, 6141040.73, 6141046.32, 6141043.57]",kortopslag,,,,,
5,TL695099,72690,Building (ki),"Polygon;[587240.83, 587240.74, 587258.01, 587258.11, 587240.83],[6141008.3, 6140995.93, 6140995.8, 6141008.17, 6141008.3]",kortopslag,,,,,
6,TL695099,70032,Building (ki),"Polygon;[587285.5, 587262.01, 587261.94, 587261.81, 587283.65, 587283.62, 587272.97, 587272.93, 587276.26, 587276.25, 587285.28, 587285.29, 587288.31, 587288.34, 587288.4, 587285.34, 587285.43, 587285.5],[6141057.62, 6141057.73, 6141042.41, 6141013.6, 6141013.5, 6141008.71, 6141008.76, 6141001.57, 6141001.55, 6140998.77, 6140998.73, 6141001.18, 6141001.16, 6141007.39, 6141021.48, 6141021.49, 6141042.31, 6141057.62]",kortopslag,,,,,
7,TL695099,106728,Building (ki),"Polygon;[587236.69, 587241.64, 587246.97, 587242.02, 587236.69],[6141081.52, 6141072.86, 6141075.91, 6141084.56, 6141081.52]",kortopslag,,,,,
8,TL695099,28358,Building (ki),"Polygon;[587247.37, 587249.6, 587262.28, 587260.05, 587247.37],[6141079.56, 6141075.67, 6141082.93, 6141086.82, 6141079.56]",kortopslag,,,,,
9,TL695099,115010,Building (ki),"Polygon;[587355.58, 587354.34, 587345.69, 587345.43, 587341.9, 587343.4, 587355.58],[6141054.77, 6141056.99, 6141052.16, 6141052.62, 6141050.65, 6141047.98, 6141054.77]",kortopslag,,,,,
10,TL695099,26334,Building (ki),"Polygon;[587241.38, 587243.72, 587239.85, 587237.51, 587241.38],[6141171.63, 6141173.0, 6141179.61, 6141178.24, 6141171.63]",kortopslag,,,,,
