,typename,id,label,geometry,service,super_category,category,sub_category,note,date
0,TL695099,111652,Building (ki),"Polygon;[587396.42, 587403.89, 587402.57, 587447.24, 587448.28, 587457.03, 587458.14, 587466.84, 587467.86, 587476.88, 587480.27, 587465.53, 587464.45, 587455.64, 587454.58, 587446.46, 587445.41, 587411.09, 587412.17, 587399.54, 587396.42],[6139178.25, 6139176.44, 6139171.01, 6139160.12, 6139164.39, 6139162.26, 6139166.79, 6139164.67, 6139168.86, 6139166.66, 6139180.57, 6139184.16, 6139179.74, 6139181.89, 6139177.53, 6139179.51, 6139175.16, 6139183.52, 6139187.96, 6139191.04, 6139178.25]",kortopslag,,,,,
1,L418883_421469,1133,Park Tree (ki),"Point;[587630.4908],[6139343.4795]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-09-14T08:26:43.410Z
2,L418883_421469,1134,Park Tree (ki),"Point;[587518.1288],[6139153.11925]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-03-10T10:53:06.710Z
3,L418883_421469,1135,Park Tree (ki),"Point;[587557.5704],[6139158.021]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-09-14T08:53:31.500Z
4,L418883_421469,1138,Park Tree (ki),"Point;[587481.368],[6139204.70925]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-03-10T10:53:06.710Z
5,L418883_421469,5111,Park Tree (ki),"Point;[587614.80570681],[6139266.27592654]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-09-14T08:16:27.047Z
6,L418883_421469,5114,Park Tree (ki),"Point;[587617.518],[6139333.09175]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-03-10T10:53:06.710Z
7,L418883_421469,5121,Park Tree (ki),"Point;[587495.7928],[6139180.28275]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-03-10T10:53:06.710Z
8,L418883_421469,5125,Park Tree (ki),"Point;[587522.9096],[6139212.32425]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-03-10T10:53:06.710Z
9,L418883_421469,5128,Park Tree (ki),"Point;[587590.334],[6139339.56475]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-03-10T10:53:06.710Z
10,L418883_421469,5129,Park Tree (ki),"Point;[587515.3676],[6139154.95675]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-03-10T10:53:06.710Z
11,L418883_421469,5130,Park Tree (ki),"Point;[587619.02699169],[6139261.65268531]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-09-14T08:18:07.780Z
12,L418883_421469,5135,Park Tree (ki),"Point;[587619.7712],[6139353.61925]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-03-10T10:53:06.710Z
13,L418883_421469,5136,Park Tree (ki),"Point;[587618.2],[6139250.95225]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-03-10T10:53:06.710Z
14,L418883_421469,5139,Park Tree (ki),"Point;[587624.4372],[6139332.45]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-03-10T10:53:06.710Z
15,L418883_421469,5141,Park Tree (ki),"Point;[587561.7272],[6139146.5265]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-03-10T10:53:06.710Z
16,L418883_421469,5144,Park Tree (ki),"Point;[587710.3128],[6139258.127]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-03-10T10:53:06.710Z
17,L418883_421469,5151,Park Tree (ki),"Point;[587599.9708],[6139345.656]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-03-10T10:53:06.710Z
