,typename,id,label,geometry,service,super_category,category,sub_category,note,date
0,TL695099,130388,Building (ki),"Polygon;[587930.75, 587925.62, 587924.52, 587923.06, 587922.31, 587928.05, 587928.34, 587933.34, 587933.95, 587935.55, 587935.83, 587934.32, 587933.67, 587933.81, 587933.91, 587930.75],[6137440.27, 6137440.96, 6137432.84, 6137433.04, 6137427.46, 6137426.68, 6137428.78, 6137428.11, 6137432.61, 6137434.05, 6137436.13, 6137437.98, 6137438.07, 6137439.06, 6137439.85, 6137440.27]",kortopslag,,,,,
1,TL695099,62468,Building (ki),"Polygon;[587804.57, 587805.45, 587807.14, 587807.33, 587811.27, 587805.89, 587798.59, 587802.57, 587803.96, 587804.57],[6137631.14, 6137630.92, 6137632.07, 6137633.01, 6137635.69, 6137643.57, 6137638.59, 6137632.76, 6137630.72, 6137631.14]",kortopslag,,,,,
2,TL695099,142104,Building (ki),"Polygon;[587898.15, 587898.94, 587894.91, 587894.12, 587898.15],[6137427.86, 6137434.02, 6137434.52, 6137428.37, 6137427.86]",kortopslag,,,,,
3,TL695099,90903,Building (ki),"Polygon;[587789.86, 587790.13, 587790.97, 587792.15, 587794.12, 587794.11, 587797.14, 587791.87, 587788.93, 587787.66, 587784.08, 587785.5, 587784.82, 587789.86],[6137621.96, 6137621.54, 6137622.08, 6137621.76, 6137623.02, 6137624.0, 6137625.97, 6137634.2, 6137632.32, 6137634.3, 6137632.01, 6137629.9, 6137629.46, 6137621.96]",kortopslag,,,,,
4,TL695099,80398,Building (ki),"Polygon;[587850.28, 587849.91, 587860.36, 587860.7, 587856.13, 587850.28],[6137612.08, 6137609.02, 6137607.95, 6137610.8, 6137611.38, 6137612.08]",kortopslag,,,,,
5,TL695099,135460,Building (ki),"Polygon;[587953.61, 587953.88, 587947.73, 587947.31, 587951.97, 587952.12, 587953.61],[6137590.32, 6137592.68, 6137593.39, 6137589.74, 6137589.2, 6137590.49, 6137590.32]",kortopslag,,,,,
6,TL695099,96213,Building (ki),"Polygon;[587944.96, 587944.66, 587942.58, 587941.6, 587945.54, 587945.63, 587949.0, 587949.14, 587951.4, 587951.63, 587956.52, 587957.51, 587950.28, 587950.13, 587944.96],[6137571.33, 6137568.71, 6137568.95, 6137560.49, 6137560.03, 6137560.81, 6137560.41, 6137561.55, 6137561.29, 6137563.23, 6137562.66, 6137571.15, 6137571.99, 6137570.72, 6137571.33]",kortopslag,,,,,
7,TL695099,119591,Building (ki),"Polygon;[587802.57, 587798.45, 587803.06, 587807.79, 587804.57, 587803.96, 587802.57],[6137632.76, 6137629.95, 6137623.19, 6137626.42, 6137631.14, 6137630.72, 6137632.76]",kortopslag,,,,,
8,TL695099,123761,Building (ki),"Polygon;[587840.63, 587850.49, 587851.83, 587841.97, 587840.63],[6137471.75, 6137470.49, 6137480.94, 6137482.2, 6137471.75]",kortopslag,,,,,
9,TL695099,123710,Building (ki),"Polygon;[587771.17, 587773.18, 587782.47, 587777.38, 587772.62, 587770.39, 587765.62, 587768.02, 587771.17],[6137442.34, 6137439.11, 6137444.89, 6137453.07, 6137450.11, 6137453.7, 6137450.73, 6137446.87, 6137442.34]",kortopslag,,,,,
10,TL695099,143678,Building (ki),"Polygon;[587776.57, 587779.45, 587777.8, 587784.76, 587791.28, 587781.44, 587776.57],[6137505.42, 6137502.35, 6137500.79, 6137493.38, 6137499.51, 6137509.99, 6137505.42]",kortopslag,,,,,
11,TL695099,112941,Building (ki),"Polygon;[587936.19, 587934.48, 587941.87, 587943.59, 587942.64, 587936.19],[6137508.98, 6137496.05, 6137495.07, 6137508.0, 6137508.13, 6137508.98]",kortopslag,,,,,
12,TL695099,133840,Building (ki),"Polygon;[587847.87, 587847.36, 587855.41, 587855.99, 587849.65, 587849.55, 587847.87],[6137458.0, 6137454.73, 6137453.65, 6137457.38, 6137458.36, 6137457.74, 6137458.0]",kortopslag,,,,,
13,TL695099,101746,Building (ki),"Polygon;[587767.01, 587766.15, 587764.69, 587762.87, 587767.4, 587769.92, 587769.73, 587767.01],[6137484.61, 6137484.07, 6137486.37, 6137485.21, 6137478.1, 6137479.7, 6137480.0, 6137484.61]",kortopslag,,,,,
14,TL695099,124345,Building (ki),"Polygon;[587798.67, 587800.95, 587798.71, 587789.75, 587791.76, 587798.67],[6137566.53, 6137567.89, 6137571.61, 6137566.23, 6137562.9, 6137566.53]",kortopslag,,,,,
15,TL695099,136866,Building (ki),"Polygon;[587939.53, 587935.66, 587934.78, 587944.6, 587945.48, 587944.35, 587939.53],[6137557.55, 6137558.06, 6137551.44, 6137550.13, 6137556.79, 6137556.94, 6137557.55]",kortopslag,,,,,
16,TL695099,68659,Building (ki),"Polygon;[587710.18, 587714.26, 587712.32, 587711.33, 587710.3, 587708.66, 587705.73, 587708.75, 587710.18],[6137527.05, 6137528.83, 6137533.25, 6137535.54, 6137535.09, 6137538.84, 6137537.56, 6137530.65, 6137527.05]",kortopslag,,,,,
17,TL695099,96688,Building (ki),"Polygon;[587700.31, 587701.03, 587700.23, 587703.58, 587711.87, 587708.46, 587704.78, 587704.11, 587700.31],[6137458.35, 6137456.32, 6137456.05, 6137445.99, 6137448.78, 6137458.8, 6137457.55, 6137459.61, 6137458.35]",kortopslag,,,,,
18,TL695099,12452,Building (ki),"Polygon;[587708.75, 587705.84, 587707.4, 587710.18, 587708.75],[6137530.65, 6137529.38, 6137525.83, 6137527.05, 6137530.65]",kortopslag,,,,,
19,TL695099,104297,Building (ki),"Polygon;[587852.38, 587842.15, 587841.58, 587844.71, 587844.19, 587846.94, 587846.8, 587849.57, 587849.72, 587853.87, 587854.22, 587855.32, 587855.67, 587854.58, 587854.89, 587854.94, 587852.38],[6137499.1, 6137500.28, 6137495.38, 6137495.02, 6137490.56, 6137490.24, 6137488.97, 6137488.65, 6137489.92, 6137489.44, 6137492.4, 6137492.28, 6137495.39, 6137495.51, 6137498.28, 6137498.8, 6137499.1]",kortopslag,,,,,
20,TL695099,144949,Building (ki),"Polygon;[587722.34, 587722.58, 587731.36, 587727.44, 587718.8, 587719.42, 587722.34],[6137542.36, 6137541.81, 6137545.56, 6137554.52, 6137550.74, 6137549.31, 6137542.36]",kortopslag,,,,,
21,TL695099,80965,Building (ki),"Polygon;[587802.9, 587801.58, 587811.95, 587812.52, 587813.91, 587814.54, 587813.2, 587813.22, 587810.78, 587804.24, 587804.33, 587802.9],[6137430.54, 6137419.14, 6137418.01, 6137422.88, 6137422.72, 6137428.13, 6137428.29, 6137428.5, 6137428.79, 6137429.55, 6137430.37, 6137430.54]",kortopslag,,,,,
22,TL695099,100933,Building (ki),"Polygon;[587704.81, 587703.57, 587700.82, 587701.61, 587701.88, 587704.85, 587707.34, 587704.81],[6137582.36, 6137585.25, 6137584.11, 6137582.12, 6137582.24, 6137575.57, 6137576.68, 6137582.36]",kortopslag,,,,,
23,TL695099,4194,Building (ki),"Polygon;[587813.47, 587816.59, 587817.04, 587813.92, 587813.47],[6137557.67, 6137557.36, 6137561.87, 6137562.18, 6137557.67]",kortopslag,,,,,
24,TL695099,92495,Building (ki),"Polygon;[587915.26, 587928.48, 587929.74, 587916.52, 587915.26],[6137479.31, 6137477.67, 6137487.87, 6137489.51, 6137479.31]",kortopslag,,,,,
25,TL695099,30219,Building (ki),"Polygon;[587787.72, 587784.92, 587778.04, 587779.07, 587776.9, 587781.73, 587790.25, 587790.78, 587787.72],[6137585.69, 6137590.27, 6137586.06, 6137584.38, 6137583.05, 6137575.14, 6137580.36, 6137580.69, 6137585.69]",kortopslag,,,,,
26,TL695099,42860,Building (ki),"Polygon;[587906.84, 587909.44, 587909.19, 587912.78, 587913.69, 587910.07, 587910.05, 587906.9, 587906.33, 587906.91, 587906.84],[6137461.91, 6137461.59, 6137459.55, 6137459.1, 6137466.42, 6137466.87, 6137466.71, 6137467.1, 6137462.53, 6137462.46, 6137461.91]",kortopslag,,,,,
27,TL695099,114418,Building (ki),"Polygon;[587832.54, 587831.68, 587834.91, 587834.48, 587839.25, 587839.36, 587841.97, 587842.06, 587845.59, 587845.7, 587849.04, 587849.83, 587840.34, 587840.49, 587836.55, 587836.59, 587832.54],[6137569.54, 6137560.76, 6137560.44, 6137556.02, 6137555.55, 6137556.67, 6137556.41, 6137557.36, 6137557.01, 6137558.05, 6137557.72, 6137565.8, 6137566.73, 6137568.27, 6137568.66, 6137569.15, 6137569.54]",kortopslag,,,,,
28,TL695099,94805,Building (ki),"Polygon;[587766.61, 587768.6, 587771.17, 587768.02, 587765.77, 587766.61],[6137443.95, 6137440.74, 6137442.34, 6137446.87, 6137445.47, 6137443.95]",kortopslag,,,,,
29,TL695099,106166,Building (ki),"Polygon;[587717.99, 587715.97, 587715.62, 587711.97, 587711.72, 587706.44, 587708.66, 587710.3, 587711.33, 587712.32, 587715.22, 587714.23, 587719.24, 587717.78, 587719.72, 587717.99],[6137547.36, 6137546.47, 6137547.28, 6137545.69, 6137546.24, 6137543.93, 6137538.84, 6137535.09, 6137535.54, 6137533.25, 6137534.52, 6137536.8, 6137539.0, 6137542.35, 6137543.2, 6137547.36]",kortopslag,,,,,
30,TL695099,122548,Building (ki),"Polygon;[587900.58, 587899.84, 587911.67, 587911.93, 587915.0, 587914.31, 587932.72, 587933.89, 587900.58],[6137593.04, 6137587.01, 6137585.57, 6137587.7, 6137587.33, 6137581.63, 6137579.38, 6137588.97, 6137593.04]",kortopslag,,,,,
