energifyn,fjernvarme,geodanmark,kortopslag,samaqua
,,1210521480,,
,,1210521421,,
,,1034131805,,
,,1034131813,,
,,1034131812,,
,,1034131725,,
,,1034131723,,
,,1034131724,,
,,1034131722,,
,,1034131721,,
,,1034131720,,
,,1210520812,,
,,1034131787,,
45428,,,,
45429,,,,
45538,,,,
17919,,,,
45514,,,,
45515,,,,
,,1210525905,,
,,1210525904,,
,,1034132287,,
,,1034132286,,
,,1034116722,,
,,1034132285,,
,,1034131728,,
,,1034131727,,
,,1034131726,,
,,1210521785,,
,,1034131822,,
,,1034131823,,
,,,9052,
,{5D6F0AB1-93B4-4A23-AC40-EB0951261355},,,
,{47BE1124-62E5-4D68-BFA9-B0B8E98CB25A},,,
,,,27679,
,,,6368,
,,,34278,
,,,,0dbf1bce-bfb6-4de3-bbcf-7e8209216152
,,,,685cdf7c-54b1-45e6-af59-5e4f0f757b64
,,,,2081be20-5498-43b6-a1a6-77df71fcfae3
,,,,d23e888e-014d-4ccd-9d84-44cd83a465e3
,,,,a2422aa4-d356-4016-8006-3b5476453fc1
,,,,dbf48801-3c9a-4749-864d-fbf18906ce11
,,,,726b35be-a03d-4645-ae4c-fbec88f13fa3
,,,,85c250d5-0d50-482d-9b31-2ef576653927
,,,,70ca6cf3-273c-41e8-a454-7d66c695edc5
,,,,a2c64d2d-3b49-4bfc-a3e1-01aeef384d12
,,,,9f88f346-095f-42fd-a041-c5e27d85c353
,,,9723,
,,,47138,
