ID,ID_img,timestamp,x,y,fix,nSat,hErr,alt,altU,h,hU,dgpsAge,checksum,date,typename,subcategory,detail,Measurement,note,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
0,,,587670.4376,6139561.332,,,,,,,,,,13/12/2020,Downspout Grille,Holes,,Totalstation,,,,,23667,
1,,,587668.1952,6139556.027,,,,,,,,,,13/12/2020,Downspout Grille,Holes,,Totalstation,,,,,23672,
2,,,587682.1708,6139550.48,,,,,,,,,,13/12/2020,Downspout Grille,Holes,,Totalstation,,,,,23674,
3,,,587683.8239,6139555.949,,,,,,,,,,13/12/2020,Downspout Grille,Holes,,Totalstation,,,,1034131762,23673,
4,,,587700.4111,6139551.951,,,,,,,,,,13/12/2020,Downspout Grille,Holes,,Totalstation,,,,,23665,
5,,,587699.3154,6139546.487,,,,,,,,,,13/12/2020,Downspout Grille,Holes,,Totalstation,,,,,44362,
6,,,587692.5801,6139542.113,,,,,,,,,,13/12/2020,Downspout Grille,Wavy,,Totalstation,,,,1034131761,23675,
7,,,587690.1571,6139548.266,,,,,,,,,,13/12/2020,Downspout Grille,Holes,,Totalstation,,,,,23676,
8,,,587674.166,6139563.572,,,,,,,,,,13/12/2020,Downspout Grille,Straight,Private,Totalstation,,,,,,
9,,,587656.4861,6139569.078,,,,,,,,,,13/12/2020,Downspout Grille,Holes,,Totalstation,,,,,23668,
10,,,587653.5418,6139564.112,,,,,,,,,,13/12/2020,Downspout Grille,Holes,,Totalstation,,,,,23671,
11,,,587642.1122,6139570.973,,,,,,,,,,13/12/2020,Downspout Grille,Holes,,Totalstation,,,,,23670,
12,,,587645.2937,6139576.088,,,,,,,,,,13/12/2020,Downspout Grille,Holes,,Totalstation,,,,,23669,
13,,,587630.2162,6139585.154,,,,,,,,,,13/12/2020,Downspout Grille,Holes,,Totalstation,,,,,44353,
14,,,587627.0791,6139580.166,,,,,,,,,,13/12/2020,Downspout Grille,Holes,,Totalstation,,,,,47123,
15,,,587670.1498,6139565.885,,,,,,,,,,13/12/2020,Downspout Grille,Straight,Private,Totalstation,,,,,,
16,,,587705.4087,6139552.461,,,,,,,,,,13/12/2020,Light Fixture,Standing,,Totalstation,,45519,,1034131981,,
17,,,587703.1415,6139549.495,,,,,,,,,,13/12/2020,Light Fixture,Hanging,,Totalstation,,38596,,,,
18,,,587680.1761,6139558.291,,,,,,,,,,13/12/2020,Light Fixture,Standing,,Totalstation,,45520,,1034131743,,
19,,,587679.4043,6139555.284,,,,,,,,,,13/12/2020,Light Fixture,Hanging,,Totalstation,,45525,,,,
20,,,587662.5281,6139566.451,,,,,,,,,,13/12/2020,Light Fixture,Standing,,Totalstation,,18652,,,,
21,,,587654.183,6139566.603,,,,,,,,,,13/12/2020,Light Fixture,Hanging,,Totalstation,,45524,,,,
22,,,587649.9483,6139564.409,,,,,,,,,,13/12/2020,Light Fixture,Standing,,Totalstation,,45521,,,,
