ID,ID_img,timestamp,x,y,fix,nSat,hErr,alt,altU,h,hU,dgpsAge,checksum,date,typename,subcategory,detail,Measurement,note,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
0,27,102212.85,587254.054,6141141.681,4,12,,4.018,M,39.447,M,0.9,0015*4F,13/11/2020,Bench,,,GNSS,,,,,,
1,28,102253.25,587251.8687,6141142.589,4,12,,4.491,M,39.447,M,1.3,0015*4A,13/11/2020,Bench,,,GNSS,,,,,,
2,29,102305,587253.9161,6141143.787,4,12,,4.544,M,39.447,M,1,0015*40,13/11/2020,Bench,,,GNSS,,,,,,
3,36,102648.75,587240.3218,6141107.424,4,13,,4.514,M,39.447,M,1.8,0015*44,13/11/2020,Bench,,,GNSS,,,,,,
4,37,102700.7,587241.6752,6141104.099,4,13,,4.501,M,39.447,M,1.7,0015*4E,13/11/2020,Bench,,,GNSS,,,,,,
5,45,103001.3,587235.6751,6141077.565,4,13,,4.492,M,39.447,M,1.3,0015*4F,13/11/2020,Bench,,,GNSS,,,,,,
6,82,105438.7,587293.2634,6141012.822,4,13,,4.871,M,39.447,M,1.7,0015*4A,13/11/2020,Bench,,In minigolf area,GNSS,,,,,,
7,83,105529.9,587309.2593,6141028.03,4,12,,4.77,M,39.447,M,0.9,0015*48,13/11/2020,Bench,,In minigolf area,GNSS,,,,,,
8,133,112758.45,587339.9947,6141152.151,4,13,,4.208,M,39.447,M,1.5,0015*40,13/11/2020,Bench,Armrest,,GNSS,,,,,,
9,134,112829.35,587341.4419,6141149.853,4,12,,4.207,M,39.447,M,1.4,0015*49,13/11/2020,Bench,Armrest,,GNSS,,,,,,
10,148,114033.95,587312.5525,6141073.333,4,11,,4.131,M,39.447,M,0.9,0015*47,13/11/2020,Bench,,,GNSS,,,,,,
11,149,114055.75,587312.9768,6141069.564,4,12,,4.489,M,39.447,M,1.8,0015*4F,13/11/2020,Bench,,,GNSS,,,,,,
12,150,114120.55,587310.3934,6141068.027,4,12,,4.426,M,39.447,M,1.5,0015*44,13/11/2020,Bench,,,GNSS,,,,,,
13,151,114151.7,587307.7648,6141066.592,4,12,,4.425,M,39.447,M,1.7,0015*44,13/11/2020,Bench,,,GNSS,,,,,,
14,157,114828.3,587337.6689,6141129.635,4,6,,3.965,M,39.447,M,1.3,0015*49,13/11/2020,Building Corner,,,GNSS,,,,,,
15,158,114924.7,587320.2805,6141160.044,4,11,,3.968,M,39.447,M,1.7,0015*45,13/11/2020,Building Corner,,,GNSS,,,,,,
16,163,115147.65,587271.6713,6141132.122,4,6,,3.921,M,39.447,M,1.6,0015*41,13/11/2020,Building Corner,,,GNSS,,,,,,
17,164,115241.55,587289.1498,6141101.85,4,7,,3.74,M,39.447,M,1.5,0015*43,13/11/2020,Building Corner,,,GNSS,,,,,,
18,165,115418.35,587354.5977,6141100.087,4,11,,3.926,M,39.447,M,1.4,0015*46,13/11/2020,Building Corner,,,GNSS,,,,,,
19,12,101147.95,587318.1794,6141169.323,4,14,,3.745,M,39.447,M,2,0015*4F,13/11/2020,Downspout Grille,Straight2,,GNSS,,,,,,
20,16,101505.65,587273.3886,6141195.538,4,14,,4.059,M,39.447,M,1.6,0015*40,13/11/2020,Downspout Grille,Round,,GNSS,,,,,,
21,17,101533.95,587263.0823,6141188.759,4,14,,4.007,M,39.447,M,2,0015*42,13/11/2020,Downspout Grille,Round,,GNSS,,,,,,
22,19,101706.85,587252.8994,6141174.305,4,14,,4.015,M,39.447,M,1.9,0015*4F,13/11/2020,Downspout Grille,Round,,GNSS,,,,,,
23,22,101931.85,587289.7692,6141153.417,4,13,,3.746,M,39.447,M,0.9,0015*4A,13/11/2020,Downspout Grille,Wavy2,,GNSS,,,,,,
24,23,102007.3,587274.5316,6141144.713,4,13,,3.835,M,39.447,M,1.3,0015*4E,13/11/2020,Downspout Grille,Wavy2,,GNSS,,,,,,
25,31,102428.8,587246.1316,6141129.168,4,13,,3.813,M,39.447,M,1.8,0015*46,13/11/2020,Downspout Grille,Wavy2,,GNSS,,,,,,
26,33,102544.25,587231.0874,6141112.707,4,14,,3.793,M,39.447,M,1.3,0015*4F,13/11/2020,Downspout Grille,Wavy2,,GNSS,,,,1103669722,,
27,38,102733.35,587239.702,6141099.638,4,13,,3.734,M,39.447,M,1.4,0015*46,13/11/2020,Downspout Grille,Wavy2,,GNSS,,,,,,
28,N/A,N/A,587224.4493,6141112.707,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Downspout Grille,,,N/A,"Exists, not measured",,,1103669962,,
29,40,102819.65,587224.4493,6141097.698,4,12,,3.764,M,39.447,M,1.6,0015*49,13/11/2020,Downspout Grille,Wavy2,,GNSS,,,,1103669524,,
30,42,102901.65,587224.2537,6141083.745,4,12,,3.79,M,39.447,M,1.6,0015*47,13/11/2020,Downspout Grille,Wavy2,,GNSS,,,,1103669950,,
31,43,102921.4,587230.7991,6141083.279,4,12,,3.767,M,39.447,M,1.4,0015*46,13/11/2020,Downspout Grille,Wavy2,,GNSS,,,,1103670055,,
32,46,103026.05,587239.4594,6141069.826,4,13,,3.751,M,39.447,M,1,0015*49,13/11/2020,Downspout Grille,Wavy,,GNSS,,,,1103669661,,
33,48,103128.7,587224.1748,6141068.887,4,13,,3.799,M,39.447,M,1.7,0015*40,13/11/2020,Downspout Grille,Wavy2,,GNSS,,,,1103669859,,
34,49,103201.65,587223.9948,6141053.826,4,14,,3.782,M,39.447,M,1.6,0015*4B,13/11/2020,Downspout Grille,Wavy2,,GNSS,,,,1103669996,,
35,N/A,N/A,587223.9948,6141038.949,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Downspout Grille,,,N/A,"Exists, not measured",,,1103669454,,
36,51,103327.15,587223.7879,6141008.897,4,14,,3.773,M,39.447,M,1.1,0015*42,13/11/2020,Downspout Grille,Wavy2,,GNSS,,,,1103669458,,
37,52,103418.65,587229.7433,6141024.162,5,13,,-1.462,M,39.447,M,1.6,0015*64,13/11/2020,Downspout Grille,Wavy2,,GNSS,,,,,,
38,54,103540.3,587239.1211,6141024.695,4,12,,3.673,M,39.447,M,1.3,0015*45,13/11/2020,Downspout Grille,Wavy2,,GNSS,,,,,,
39,55,103603.5,587239.2335,6141038.949,4,13,,3.688,M,39.447,M,1.5,0015*41,13/11/2020,Downspout Grille,Wavy2,,GNSS,,,,1103669934,,
40,59,103917.5,587252.0314,6141058.416,4,11,,3.66,M,39.447,M,1.5,0015*4C,13/11/2020,Downspout Grille,Wavy,,GNSS,,,,,,
41,66,104333.15,587272.3073,6141102.441,4,11,,3.688,M,39.447,M,1.1,0015*48,13/11/2020,Downspout Grille,Wavy2,,GNSS,,,,,,
42,68,104435.05,587253.2092,6141093.26,4,9,,3.669,M,39.447,M,1,0015*43,13/11/2020,Downspout Grille,Wavy,,GNSS,,,,,,
43,69,104514.65,587260.718,6141118.758,4,12,,3.924,M,39.447,M,1.6,0015*45,13/11/2020,Downspout Grille,Wavy,,GNSS,,,,,,
44,70,104533.3,587262.403,6141119.641,4,13,,3.829,M,39.447,M,1.3,0015*42,13/11/2020,Downspout Grille,Wavy2,,GNSS,,,,,,
45,73,104906.6,587269.5777,6141125.774,4,9,,3.778,M,39.447,M,1.6,0015*4D,13/11/2020,Downspout Grille,Wavy2,,GNSS,,,,,,
46,75,104956.35,587278.7761,6141110,4,9,,3.672,M,39.447,M,1.4,0015*45,13/11/2020,Downspout Grille,Wavy2,,GNSS,,,,,,
47,76,105017.4,587272.371,6141102.425,4,12,,3.706,M,39.447,M,1.4,0015*42,13/11/2020,Downspout Grille,Wavy2,,GNSS,,,,,,
48,77,105028.45,587270.6887,6141101.343,4,13,,3.698,M,39.447,M,1.5,0015*42,13/11/2020,Downspout Grille,Wavy2,,GNSS,,,,,,
49,78,105101.7,587286.9638,6141095.12,4,12,,3.597,M,39.447,M,1.7,0015*41,13/11/2020,Downspout Grille,Wavy2,,GNSS,,,,,,
50,85,105848.75,587314.5374,6141047.573,4,8,,3.879,M,39.447,M,0.8,0015*41,13/11/2020,Downspout Grille,Wavy2,,GNSS,,,,,,
51,87,105948.2,587322.0632,6141034.684,4,11,,3.873,M,39.447,M,1.2,0015*46,13/11/2020,Downspout Grille,Wavy,,GNSS,,,,,,
52,91,110126.95,587329.9725,6141048.819,4,7,,3.757,M,39.447,M,0.9,0015*4E,13/11/2020,Downspout Grille,Wavy,,GNSS,,,,1034480001,,
53,96,110406.15,587347.4277,6141059.215,4,7,,3.915,M,39.447,M,1.1,0015*44,13/11/2020,Downspout Grille,Wavy,,GNSS,,,,1034479992,,
54,98,110459.15,587354.9997,6141063.459,4,5,,3.856,M,39.447,M,5.2,0015*70,13/11/2020,Downspout Grille,Wavy,,GNSS,,,,,,
55,100,110815.8,587363.1129,6141068.318,4,6,,3.843,M,39.447,M,1.8,0015*45,13/11/2020,Downspout Grille,Wavy,,GNSS,,,,1034479990,,
56,107,111422.45,587387.5939,6141075.296,4,10,,3.802,M,39.447,M,1.5,0015*4B,13/11/2020,Downspout Grille,Wavy,,GNSS,,,,1103670021,,
