ID,Unnamed: 0.1,ID_img,timestamp,x,y,fix,nSat,hErr,alt,altU,h,hU,dgpsAge,checksum,date,typename,subcategory,detail,Measurement,note,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
0,80,84,104857.15,590671.3696,6136686.314,4,9,,22.376,M,39.413,M,1.1,0008*7A,,Tree Stump,,,GNSS,,,,1103670638,,
1,289,304,133825.75,590672.3786,6136776.85,5,7,,26.247,M,39.415,M,1.8,0024*73,,Tree,Collection of Trees,,GNSS,,,,,,
2,287,301,133427.65,590772.1839,6136812.522,4,9,,23.442,M,39.415,M,1.6,0024*74,,Tree,,,GNSS,,,,1202734429,,
3,286,300,133403.9,590767.2273,6136811.849,4,10,,23.444,M,39.415,M,0.9,0024*78,,Tree,,,GNSS,,,,1202734430,,
4,285,299,133350.45,590762.2019,6136811.34,4,9,,23.532,M,39.415,M,1.5,0024*71,,Tree,,,GNSS,,,,1202734425,,
5,284,298,133337.5,590757.4176,6136810.98,4,11,,23.5,M,39.415,M,1.5,0024*71,,Tree,,,GNSS,,,,1202734426,,
6,283,297,133318.95,590752.2648,6136810.407,4,13,,23.476,M,39.415,M,0.9,0024*70,,Tree,,,GNSS,,,,1202734427,,
7,282,296,133259.2,590747.4316,6136810.082,4,10,,23.154,M,39.415,M,1.2,0024*7E,,Tree,,,GNSS,,,,1202734428,,
9,280,294,133226.75,590736.5102,6136808.855,4,9,,23.455,M,39.415,M,1.8,0024*71,,Tree,,,GNSS,,,,1202734421,,
10,279,293,133212.9,590731.5743,6136808.437,4,9,,23.424,M,39.415,M,0.9,0024*7A,,Tree,,,GNSS,,,,1202734422,,
11,278,292,133157.25,590726.4497,6136807.941,4,8,,23.37,M,39.415,M,2.3,0024*77,,Tree,,,GNSS,,,,1202734423,,
13,276,290,133114.6,590716.607,6136806.892,4,8,,23.146,M,39.415,M,1.6,0024*76,,Tree,,,GNSS,,,,1202734424,,
15,226,238,130622.25,590747.525,6136754.709,4,11,,23.631,M,39.415,M,1.3,0024*74,,Tree,,,GNSS,,,,,,
16,225,237,130601.45,590759.5837,6136755.911,4,11,,23.475,M,39.415,M,1.5,0024*74,,Tree,,,GNSS,,,,,,
17,224,236,130539.8,590771.2048,6136757.001,4,10,,23.525,M,39.415,M,1.8,0024*7F,,Tree,,,GNSS,,,,,,
18,216,227,130122.75,590777.409,6136729.676,4,10,,23.019,M,39.415,M,0.8,0024*79,,Tree,,,GNSS,,,,1034135478,,
19,215,226,130108.85,590773.3225,6136729.257,4,7,,22.87,M,39.415,M,1.9,0024*7D,,Tree,,,GNSS,,,,1034135475,,
20,213,223,130041.3,590769.5742,6136728.799,4,7,,22.91,M,39.415,M,1.3,0024*75,,Tree,,,GNSS,,,,1034135476,,
21,207,217,125852.05,590739.9249,6136725.99,4,11,,22.826,M,39.415,M,1,0024*7A,,Tree,,,GNSS,,,,1034135702,,
22,205,215,125829.25,590735.9046,6136725.777,4,7,,22.953,M,39.415,M,1.3,0024*70,,Tree,,,GNSS,,,,1034135703,,
23,202,212,125802.05,590731.7504,6136725.325,4,8,,22.953,M,39.415,M,2,0024*74,,Tree,,,GNSS,,,,1034135470,,
24,187,197,125211.85,590764.2198,6136710.408,4,12,,22.928,M,39.415,M,0.9,0024*7E,,Tree,,,GNSS,,,,1034135473,,
25,186,196,125200.8,590760.3238,6136709.978,4,11,,22.924,M,39.415,M,0.8,0024*76,,Tree,,,GNSS,,,,1034135705,,
26,185,195,125148.15,590756.3487,6136709.661,4,10,,22.918,M,39.415,M,1.1,0024*77,,Tree,,,GNSS,,,,1034135706,,
27,170,179,124450.95,590729.6419,6136688.989,4,8,,23.084,M,39.415,M,2,0024*7D,,Tree,,,GNSS,,,,1034135711,,
28,169,177,124429.75,590734.2001,6136689.406,4,7,,22.771,M,39.415,M,1.8,0024*76,,Tree,,,GNSS,,,,1034135708,,
29,166,174,124336.65,590739.1133,6136689.924,4,8,,22.792,M,39.415,M,0.6,0024*75,,Tree,,,GNSS,,,,1034135709,,
30,114,119,110457.1,590661.1288,6136729.368,4,7,,22.94,M,39.413,M,1.1,0008*7D,,Tree,,,GNSS,,,,1103670864,,
31,113,118,110443.5,590654.878,6136728.419,4,7,,23.153,M,39.413,M,1.5,0008*7D,,Tree,,,GNSS,,,,1103670765,,
32,112,117,110427.25,590657.2424,6136722.854,4,7,,23.174,M,39.413,M,1.3,0008*70,,Tree,,,GNSS,,,,1103670440,,
33,110,115,110327.85,590655.6799,6136716.079,5,6,,23.397,M,39.413,M,0.9,0008*7B,,Tree,,,GNSS,,,,1103670623,,
34,109,114,110240.5,590659.9383,6136716.214,4,8,,23.085,M,39.413,M,1.5,0008*72,,Tree,,,GNSS,,,,1103670421,,
35,102,106,105755.1,590677.8243,6136704.308,5,10,,22.006,M,39.413,M,1.1,0008*7D,,Tree,,,GNSS,,,,1067406484,,
36,101,105,105704.2,590679.2639,6136717.493,4,9,,23.726,M,39.413,M,2.2,0008*77,,Tree,,,GNSS,,,,1103670438,,
37,100,104,105652.5,590675.5964,6136717.294,4,11,,23.607,M,39.413,M,1.5,0008*75,,Tree,,,GNSS,,,,1103670854,,
38,96,100,105550.7,590671.6233,6136722.746,4,10,,23.233,M,39.413,M,1.7,0008*78,,Tree,,,GNSS,,,,1103670643,,
39,95,99,105539.2,590676.7474,6136721.419,4,11,,23.31,M,39.413,M,1.2,0008*7C,,Tree,,,GNSS,,,,1103670532,,
40,94,98,105530.25,590678.827,6136725.639,4,10,,23.632,M,39.413,M,1.3,0008*77,,Tree,,,GNSS,,,,1103670755,,
41,93,97,105519.85,590683.3306,6136723.934,4,11,,23.445,M,39.413,M,0.9,0008*73,,Tree,,,GNSS,,,,1103670626,,
42,92,96,105459.75,590693.4318,6136728.364,4,14,,22.937,M,39.413,M,1.8,0008*78,,Tree,,,GNSS,,,,1103670842,,
43,91,95,105448.15,590692.413,6136722.442,4,12,,23.282,M,39.413,M,1.1,0008*77,,Tree,,,GNSS,,,,1103670502,,
44,90,94,105434.65,590695.2436,6136716.746,4,12,,22.539,M,39.413,M,1.6,0008*73,,Tree,,,GNSS,,,,1103670396,,
45,89,93,105413.15,590705.2503,6136714.83,4,12,,22.953,M,39.413,M,1.1,0008*7A,,Tree,,,GNSS,,,,1103670365,,
46,88,92,105335.7,590708.713,6136685.76,4,10,,23.098,M,39.413,M,1.7,0008*7A,,Tree,,,GNSS,,,,1103670351,,
47,87,91,105314.1,590709.6413,6136675.021,4,9,,23.003,M,39.413,M,1.1,0008*7A,,Tree,,,GNSS,,,,1103670490,,
48,86,90,105300.7,590707.0091,6136679.543,4,12,,22.356,M,39.413,M,1.7,0008*78,,Tree,,,GNSS,,,,1103670496,,
