ID,ID_img,timestamp,x,y,fix,nSat,hError,alt,altU,h,hU,dgpsAge,checksum,date,typename,subcategory,detail,Measurement,note,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
53,8,112029.55,587869.376,6137522.361,5,11,1.5,,,,,,,08/11/2020,Light Fixture,Standing,,GNSS,,,,,,
4,9,112406.95,587867.2147,6137525.374,4,11,1,,,,,,,08/11/2020,Downspout Grille,Square,,GNSS,,,,,,
54,10,112501.9,587844.8749,6137526.022,4,7,2,,,,,,,08/11/2020,Light Fixture,Standing,,GNSS,,25025,,1034160224,,
5,11,112628.05,587846.1043,6137527.948,4,6,2.4,,,,,,,08/11/2020,Downspout Grille,Square,,GNSS,,,,1034160102,,
73,12,112718.85,587845.0228,6137530.942,4,6,4.3,,,,,,,08/11/2020,Manhole Cover,Large,,GNSS,,,,1034160394,,63d03772-4bd1-405c-ba68-a231844d13d7
6,13,112755.45,587849.8347,6137534.564,4,8,1.8,,,,,,,08/11/2020,Downspout Grille,Square,,GNSS,,,,1034127778,,
7,14,112839.15,587867.9997,6137532.329,4,9,1,,,,,,,08/11/2020,Downspout Grille,Square,,GNSS,,,,1034127777,,
74,15,112932.2,587833.5979,6137533.52,4,8,1.4,,,,,,,08/11/2020,Manhole Cover,Large,,GNSS,,,,1034127799,,5c6938b1-9538-4e3b-8497-ddc11b9f48ca
8,16,113000.9,587816.6112,6137538.626,4,9,1.2,,,,,,,08/11/2020,Downspout Grille,Square,,GNSS,,,,1034127780,,
9,17,113037.7,587793.9383,6137543.882,4,9,1.2,,,,,,,08/11/2020,Downspout Grille,Square,,GNSS,,,,1034128080,,
75,18,113055.25,587789.0149,6137542.902,4,8,1.9,,,,,,,08/11/2020,Manhole Cover,Large,,GNSS,,,,1034127810,,2ef30cc7-0b29-4033-8e96-658c1082c9af
10,19,113132.2,587780.8118,6137550.172,4,10,1.1,,,,,,,08/11/2020,Downspout Grille,Square,,GNSS,,,,1034128079,,
11,20,113242.7,587780.4181,6137561.772,4,6,4.4,,,,,,,08/11/2020,Downspout Grille,Square,,GNSS,,,,1034128078,,
55,21,113315.2,587770.7261,6137563.12,4,9,1.2,,,,,,,08/11/2020,Light Fixture,Standing,,GNSS,,17626,,1034128136,,
76,22,113354.4,587774.8738,6137565.076,4,9,1.2,,,,,,,08/11/2020,Manhole Cover,Large,,GNSS,,,,1034127808,,8dd6a07c-8463-4969-986e-2a2680ba3e76
77,23,113419.55,587774.5938,6137570.961,4,7,2.6,,,,,,,08/11/2020,Manhole Cover,Large,Fjernvarme,GNSS,,,{E49B4868-6DFE-45DB-8C5F-2CC7CF72232D},1034127807,,
56,24,113526.15,587769.7905,6137587.775,4,9,1,,,,,,,08/11/2020,Light Fixture,Standing,,GNSS,,25018,,,,
96,25,113552.85,587771.1513,6137588.353,4,11,0.8,,,,,,,08/11/2020,Tree,,,GNSS,,,,1034115491,29163,
