i,time,message,,lat_nmea,,lon_nmea,,,,,,,,,,
9,1619168505.662186,$GPGGA,125059.30,5523.52009860,N,01022.88864575,E,4,11,0.9,7.595,M,39.466,M,1.3,0026*4C
10,1619168506.2006335,$GPGGA,125059.30,5523.52009860,N,01022.88864575,E,4,11,0.9,7.595,M,39.466,M,1.3,0026*4C
11,1619168506.738683,$GPGGA,125059.30,5523.52009860,N,01022.88864575,E,4,11,0.9,7.595,M,39.466,M,1.3,0026*4C
12,1619168507.2785523,$GPGGA,125059.30,5523.52009860,N,01022.88864575,E,4,11,0.9,7.595,M,39.466,M,1.3,0026*4C
13,1619168507.6801505,$GPGGA,125059.30,5523.52009860,N,01022.88864575,E,4,11,0.9,7.595,M,39.466,M,1.3,0026*4C
14,1619168508.3565967,$GPGGA,125059.30,5523.52009860,N,01022.88864575,E,4,11,0.9,7.595,M,39.466,M,1.3,0026*4C
15,1619168508.7584252,$GPGGA,125059.30,5523.52009860,N,01022.88864575,E,4,11,0.9,7.595,M,39.466,M,1.3,0026*4C
16,1619168509.297379,$GPGGA,125059.30,5523.52009860,N,01022.88864575,E,4,11,0.9,7.595,M,39.466,M,1.3,0026*4C
17,1619168509.973055,$GPGGA,125059.30,5523.52009860,N,01022.88864575,E,4,11,0.9,7.595,M,39.466,M,1.3,0026*4C
18,1619168510.5043333,$GPGGA,125103.90,5523.52009719,N,01022.88864864,E,4,13,0.8,7.614,M,39.466,M,1.9,0026*47
19,1619168511.0466812,$GPGGA,125103.90,5523.52009719,N,01022.88864864,E,4,13,0.8,7.614,M,39.466,M,1.9,0026*47
20,1619168511.582181,$GPGGA,125103.90,5523.52009719,N,01022.88864864,E,4,13,0.8,7.614,M,39.466,M,1.9,0026*47
21,1619168512.1208246,$GPGGA,125103.90,5523.52009719,N,01022.88864864,E,4,13,0.8,7.614,M,39.466,M,1.9,0026*47
22,1619168512.6600356,$GPGGA,125103.90,5523.52009719,N,01022.88864864,E,4,13,0.8,7.614,M,39.466,M,1.9,0026*47
23,1619168513.134794,$GPGGA,125103.90,5523.52009719,N,01022.88864864,E,4,13,0.8,7.614,M,39.466,M,1.9,0026*47
24,1619168513.6741514,$GPGGA,125103.90,5523.52009719,N,01022.88864864,E,4,13,0.8,7.614,M,39.466,M,1.9,0026*47
25,1619168514.2775366,$GPGGA,125103.90,5523.52009719,N,01022.88864864,E,4,13,0.8,7.614,M,39.466,M,1.9,0026*47
26,1619168514.816975,$GPGGA,125103.90,5523.52009719,N,01022.88864864,E,4,13,0.8,7.614,M,39.466,M,1.9,0026*47
27,1619168515.2826304,$GPGGA,125109.05,5523.52010170,N,01022.88862700,E,4,12,0.8,7.643,M,39.466,M,1.0,0026*41
28,1619168515.8944192,$GPGGA,125109.05,5523.52010170,N,01022.88862700,E,4,12,0.8,7.643,M,39.466,M,1.0,0026*41
29,1619168516.2973795,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
30,1619168517.037069,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
31,1619168517.7768903,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
32,1619168518.3157256,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
33,1619168518.8550365,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
34,1619168519.3944736,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
35,1619168519.7961764,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
36,1619168520.463923,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
37,1619168520.9384644,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
38,1619168521.5423498,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
39,1619168522.0813031,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
40,1619168522.6203234,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
41,1619168523.1597624,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
42,1619168523.6995714,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
43,1619168524.0999863,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
44,1619168524.6395013,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
45,1619168525.3154764,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
46,1619168525.8553839,$GPGGA,125119.35,5523.52097962,N,01022.88904176,E,4,13,0.8,7.667,M,39.466,M,1.4,0026*42
47,1619168526.394001,$GPGGA,125119.35,5523.52097962,N,01022.88904176,E,4,13,0.8,7.667,M,39.466,M,1.4,0026*42
48,1619168526.9982095,$GPGGA,125120.95,5523.52159907,N,01022.88936638,E,4,13,0.8,7.636,M,39.466,M,0.9,0026*46
49,1619168528.0027163,$GPGGA,125120.95,5523.52159907,N,01022.88936638,E,4,13,0.8,7.636,M,39.466,M,0.9,0026*46
50,1619168528.5431366,$GPGGA,125120.95,5523.52159907,N,01022.88936638,E,4,13,0.8,7.636,M,39.466,M,0.9,0026*46
51,1619168529.0804741,$GPGGA,125120.95,5523.52159907,N,01022.88936638,E,4,13,0.8,7.636,M,39.466,M,0.9,0026*46
52,1619168529.5550416,$GPGGA,125120.95,5523.52159907,N,01022.88936638,E,4,13,0.8,7.636,M,39.466,M,0.9,0026*46
53,1619168529.8949184,$GPGGA,125120.95,5523.52159907,N,01022.88936638,E,4,13,0.8,7.636,M,39.466,M,0.9,0026*46
54,1619168530.4233549,$GPGGA,125120.95,5523.52159907,N,01022.88936638,E,4,13,0.8,7.636,M,39.466,M,0.9,0026*46
55,1619168530.963075,$GPGGA,125120.95,5523.52159907,N,01022.88936638,E,4,13,0.8,7.636,M,39.466,M,0.9,0026*46
56,1619168531.5020025,$GPGGA,125120.95,5523.52159907,N,01022.88936638,E,4,13,0.8,7.636,M,39.466,M,0.9,0026*46
57,1619168532.0447297,$GPGGA,125120.95,5523.52159907,N,01022.88936638,E,4,13,0.8,7.636,M,39.466,M,0.9,0026*46
58,1619168532.4433122,$GPGGA,125120.95,5523.52159907,N,01022.88936638,E,4,13,0.8,7.636,M,39.466,M,0.9,0026*46
59,1619168533.3931274,$GPGGA,125120.95,5523.52159907,N,01022.88936638,E,4,13,0.8,7.636,M,39.466,M,0.9,0026*46
60,1619168533.9240127,$GPGGA,125120.95,5523.52159907,N,01022.88936638,E,4,13,0.8,7.636,M,39.466,M,0.9,0026*46
61,1619168534.3977997,$GPGGA,125127.95,5523.52455907,N,01022.89266564,E,4,12,0.8,7.732,M,39.466,M,0.9,0026*49
62,1619168535.0025744,$GPGGA,125127.95,5523.52455907,N,01022.89266564,E,4,12,0.8,7.732,M,39.466,M,0.9,0026*49
63,1619168535.4037542,$GPGGA,125127.95,5523.52455907,N,01022.89266564,E,4,12,0.8,7.732,M,39.466,M,0.9,0026*49
64,1619168536.08023,$GPGGA,125129.40,5523.52509259,N,01022.89355527,E,4,12,0.8,7.788,M,39.466,M,1.4,0026*4C
65,1619168536.618672,$GPGGA,125129.40,5523.52509259,N,01022.89355527,E,4,12,0.8,7.788,M,39.466,M,1.4,0026*4C
66,1619168537.0931537,$GPGGA,125129.40,5523.52509259,N,01022.89355527,E,4,12,0.8,7.788,M,39.466,M,1.4,0026*4C
67,1619168537.9627235,$GPGGA,125129.40,5523.52509259,N,01022.89355527,E,4,12,0.8,7.788,M,39.466,M,1.4,0026*4C
68,1619168538.5016296,$GPGGA,125129.40,5523.52509259,N,01022.89355527,E,4,12,0.8,7.788,M,39.466,M,1.4,0026*4C
69,1619168539.0405793,$GPGGA,125129.40,5523.52509259,N,01022.89355527,E,4,12,0.8,7.788,M,39.466,M,1.4,0026*4C
70,1619168539.5153584,$GPGGA,125129.40,5523.52509259,N,01022.89355527,E,4,12,0.8,7.788,M,39.466,M,1.4,0026*4C
